source,full_response,pred_number,answer
mgsm-en-47,"Let's denote the cost of a blue tie as \( B \) and the cost of a red tie as \( R \). According to the problem, the cost of a blue tie is $40, so \( B = 40 \). John buys twice as many red ties as blue ties, so if he buys \( x \) blue ties, he buys \( 2x \) red ties. The cost of the blue ties is $200, so we have:

\[ x \cdot B = 200 \]
\[ x \cdot 40 = 200 \]
\[ x = \frac{200}{40} = 5 \]

So, John buys 5 blue ties and \( 2 \cdot 5 = 10 \) red ties. The cost of a red tie is 50% more than the cost of a blue tie, so:

\[ R = B + 0.5B = 1.5B = 1.5 \cdot 40 = 60 \]

Now, we calculate the total cost of the blue ties and the red ties:

\[ \text{Total cost of blue ties} = 5 \cdot 40 = 200 \]
\[ \text{Total cost of red ties} = 10 \cdot 60 = 600 \]

Adding these together gives the total amount John spent on ties:

\[ \text{Total cost} = 200 + 600 = 800 \]

Thus, the total amount John spent on ties is \(\boxed{800}\).",800,800
mgsm-en-48,"To determine how many pieces of wire Tracy obtained, we need to convert the length of the wire from feet to inches and then divide by the length of each piece.

First, we know that 1 foot is equal to 12 inches. Therefore, 4 feet is equal to:
\[ 4 \text{ feet} \times 12 \text{ inches/foot} = 48 \text{ inches} \]

Next, we need to divide the total length of the wire in inches by the length of each piece:
\[ 48 \text{ inches} \div 6 \text{ inches/piece} = 8 \text{ pieces} \]

So, Tracy obtained \(\boxed{8}\) pieces of wire.",8,8
mgsm-en-49,"The building has 15 floors * 8 units/floor = 120 units.
So 120 units * 3/4 = 90 units are occupied.
That means 120 units - 90 units = 30 units are unoccupied.

Therefore, the answer is 30.",30,30
mgsm-en-50,"To determine how much Lloyd makes on eggs per week, we need to follow these steps:

1. **Calculate the total number of eggs produced per day:**
   Lloyd's chickens produce 252 eggs per day.

2. **Convert the daily egg production into dozens:**
   Since there are 12 eggs in a dozen, we divide the total number of eggs by 12:
   \[
   \frac{252 \text{ eggs}}{12 \text{ eggs/dozen}} = 21 \text{ dozens}
   \]

3. **Calculate the daily earnings:**
   Lloyd sells each dozen for $2. Therefore, we multiply the number of dozens by the price per dozen:
   \[
   21 \text{ dozens} \times 2 \text{ dollars/dozen} = 42 \text{ dollars}
   \]

4. **Calculate the weekly earnings:**
   There are 7 days in a week, so we multiply the daily earnings by 7:
   \[
   42 \text{ dollars/day} \times 7 \text{ days/week} = 294 \text{ dollars/week}
   \]

Thus, Lloyd makes \(\boxed{294}\) dollars on eggs per week.",294,294
mgsm-en-51,"To determine how long it takes Tom to travel back from 4 PM to 1 PM, we need to calculate the total distance he travels and then use the speed to find the time.

First, let's calculate the distance Tom travels from 1 PM to 4 PM. The distance is given by the formula:
\[ \text{Distance} = \text{Speed} \times \text{Time} \]

From 1 PM to 4 PM is a span of 3 hours. The speed is 10 miles per hour. Therefore, the distance traveled from 1 PM to 4 PM is:
\[ \text{Distance} = 10 \, \text{miles/hour} \times 3 \, \text{hours} = 30 \, \text{miles} \]

Next, we need to calculate the time it takes to travel back from 4 PM to 1 PM. The speed is 6 miles per hour. The distance is the same, 30 miles. The time can be calculated using the formula:
\[ \text{Time} = \frac{\text{Distance}}{\text{Speed}} \]

Substituting the known values:
\[ \text{Time} = \frac{30 \, \text{miles}}{6 \, \text{miles/hour}} = 5 \, \text{hours} \]

Therefore, the time it takes Tom to get back is:
\[ \boxed{5} \]",5,5
mgsm-en-52,"Let's denote the number of toys Uriah needs to remove as \( T \).

First, we calculate the total weight of the comic books. Since each comic book weighs \( \frac{1}{4} \) pound and Uriah removes 30 comic books, the total weight of the comic books is:
\[ 30 \times \frac{1}{4} = \frac{30}{4} = 7.5 \text{ pounds} \]

Next, we know that Uriah needs to remove a total of 15 pounds from his book bag. Therefore, the weight of the toys he needs to remove is:
\[ 15 - 7.5 = 7.5 \text{ pounds} \]

Since each toy weighs \( \frac{1}{2} \) pound, the number of toys \( T \) that need to be removed is:
\[ T = \frac{7.5}{\frac{1}{2}} = 7.5 \times 2 = 15 \]

Thus, Uriah needs to remove \(\boxed{15}\) toys.",15,15
mgsm-en-53,"To determine how much more revenue the mechanic earned on the day with higher revenue, we need to calculate the total revenue for each day and then find the difference between the two.

First, let's calculate the revenue for Thursday:
- The mechanic charges $60 for each truck tire and repairs 6 truck tires.
- The mechanic charges $40 for each car tire and repairs 4 car tires.
- The total revenue for Thursday is calculated as follows:
  \[
  \text{Revenue on Thursday} = 6 \times 60 + 4 \times 40 = 360 + 160 = 520
  \]

Next, let's calculate the revenue for Friday:
- The mechanic charges $60 for each truck tire and repairs 0 truck tires.
- The mechanic charges $40 for each car tire and repairs 12 car tires.
- The total revenue for Friday is calculated as follows:
  \[
  \text{Revenue on Friday} = 0 \times 60 + 12 \times 40 = 0 + 480 = 480
  \]

Now, we find the difference in revenue between Friday and Thursday:
\[
\text{Difference in revenue} = 520 - 480 = 40
\]

Thus, the mechanic earned \(\boxed{40}\) dollars more on Friday than on Thursday.",40,40
mgsm-en-54,"To determine the total number of kittens the Doubtfire family now has, we need to follow these steps:

1. Identify the number of adopted kittens from Patchy.
2. Identify the number of adopted kittens from Trixie.
3. Sum the number of adopted kittens from both Patchy and Trixie.

First, we know that Patchy has had thrice the number of adopted kittens as the adopted kittens from Trixie. Since Trixie has had 12 adopted kittens, Patchy has had \(3 \times 12 = 36\) adopted kittens.

Next, we add the number of adopted kittens from both Patchy and Trixie to find the total number of adopted kittens:
\[36 + 12 = 48\]

Therefore, the total number of kittens the Doubtfire family now has is \(\boxed{48}\).",48,40
mgsm-en-55,"To determine how many bags Jean can fill, we need to follow these steps:

1. **Calculate the number of lollipops left after Jean eats 2:**
   \[
   30 - 2 = 28
   \]
   So, Jean has 28 lollipops remaining.

2. **Determine how many bags Jean can fill with 2 lollipops per bag:**
   \[
   \frac{28}{2} = 14
   \]
   Therefore, Jean can fill 14 bags with the remaining lollipops.

The final answer is:
\[
\boxed{14}
\]",14,14
mgsm-en-56,"To determine how many times Peter can go to the movies this week, we need to calculate the total cost for one movie and popcorn, and then divide the total amount of money he has by this cost.

The cost for one movie and popcorn is:
\[ 7 + 7 = 14 \text{ dollars} \]

Peter has 42 dollars for the week. To find out how many times he can go to the movies, we divide the total amount of money by the cost for one movie and popcorn:
\[ \frac{42}{14} = 3 \]

Therefore, Peter can go to the movies $3$ times this week.",3,3
