source,full_response,pred_number,answer
mgsm-en-47,"First, we determine the number of blue ties John bought. Since each blue tie costs $40 and he spent $200 on blue ties, the number of blue ties he bought is:
\[
\frac{200}{40} = 5
\]
John buys twice as many red ties as blue ties. Therefore, the number of red ties he bought is:
\[
2 \times 5 = 10
\]
Next, we need to find the cost of each red tie. The red ties cost 50% more than the blue ties. Since each blue tie costs $40, the cost of each red tie is:
\[
40 + 0.5 \times 40 = 40 + 20 = 60
\]
Now, we calculate the total cost of the red ties. Since each red tie costs $60 and he bought 10 red ties, the total cost for the red ties is:
\[
10 \times 60 = 600
\]
The total amount John spent on ties is the sum of the cost of the blue ties and the cost of the red ties:
\[
200 + 600 = 800
\]
Thus, the total amount John spent on ties is:
\[
\boxed{800}
\]",800,800
mgsm-en-48,"First, we need to convert the length of the wire from feet to inches because the pieces are measured in inches. There are 12 inches in a foot. Therefore, the total length of the wire in inches is:

\[ 4 \text{ feet} \times 12 \text{ inches/foot} = 48 \text{ inches} \]

Next, we need to determine how many 6-inch pieces can be obtained from 48 inches of wire. We do this by dividing the total length of the wire by the length of each piece:

\[ 48 \text{ inches} \div 6 \text{ inches/piece} = 8 \text{ pieces} \]

Thus, Tracy obtained \(\boxed{8}\) pieces of wire.",8,8
mgsm-en-49,"To determine the total number of unoccupied units in the building, we need to follow these steps:

1. Calculate the total number of units in the building.
2. Determine the number of occupied units.
3. Calculate the number of unoccupied units.

First, we calculate the total number of units in the building. The building has 15 floors, and each floor contains 8 units. Therefore, the total number of units is:
\[
15 \times 8 = 120
\]

Next, we need to find out how many of these units are occupied. We know that 3/4 of the building is occupied. So, the number of occupied units is:
\[
\frac{3}{4} \times 120 = \frac{3 \times 120}{4} = \frac{360}{4} = 90
\]

Now, we can find the number of unoccupied units by subtracting the number of occupied units from the total number of units:
\[
120 - 90 = 30
\]

Therefore, the total number of unoccupied units in the building is \(\boxed{30}\).",30,30
mgsm-en-50,"To determine how much Lloyd makes on eggs per week, we need to follow these steps:

1. Calculate the number of eggs produced per week.
2. Determine how many dozens of eggs are produced per week.
3. Calculate the total revenue from selling the eggs per week.

First, we calculate the number of eggs produced per week. Since there are 7 days in a week and the chickens produce 252 eggs per day, the weekly production is:
\[ 252 \text{ eggs/day} \times 7 \text{ days/week} = 1764 \text{ eggs/week} \]

Next, we convert the weekly egg production into dozens. Since there are 12 eggs in a dozen, the number of dozens produced per week is:
\[ \frac{1764 \text{ eggs}}{12 \text{ eggs/dozen}} = 147 \text{ dozens} \]

Now, we calculate the total revenue from selling the eggs. Since Lloyd sells the eggs for $2 per dozen, the weekly revenue is:
\[ 147 \text{ dozens} \times 2 \text{ dollars/dozen} = 294 \text{ dollars} \]

Therefore, Lloyd makes \(\boxed{294}\) dollars on eggs per week.",294,294
mgsm-en-51,"To determine how long it takes Tom to travel back, we need to follow these steps:

1. **Determine the distance Tom travels to the destination:**
   - Tom's ship travels at a rate of 10 miles per hour.
   - He sails from 1 PM to 4 PM, which is a total of 3 hours.
   - Distance = Speed × Time
   \[
   \text{Distance} = 10 \, \text{miles per hour} \times 3 \, \text{hours} = 30 \, \text{miles}
   \]

2. **Determine the time it takes to travel back:**
   - Tom travels back at a rate of 6 miles per hour.
   - The distance to be traveled back is 30 miles.
   - Time = Distance ÷ Speed
   \[
   \text{Time} = \frac{30 \, \text{miles}}{6 \, \text{miles per hour}} = 5 \, \text{hours}
   \]

Therefore, the time it takes Tom to get back is \(\boxed{5}\) hours.",5,5
mgsm-en-52,"To determine how many toys Uriah needs to remove, we start by calculating the total weight of the comic books he removes. Each comic book weighs \( \frac{1}{4} \) pound, and he removes 30 comic books. Therefore, the total weight of the comic books is:

\[
30 \times \frac{1}{4} = 7.5 \text{ pounds}
\]

Next, we need to find out how much more weight needs to be removed to reach the total of 15 pounds. We subtract the weight of the comic books from the total weight to be removed:

\[
15 - 7.5 = 7.5 \text{ pounds}
\]

Each toy weighs \( \frac{1}{2} \) pound. To find out how many toys need to be removed to remove the remaining 7.5 pounds, we divide the remaining weight by the weight of each toy:

\[
7.5 \div \frac{1}{2} = 7.5 \times 2 = 15
\]

Thus, Uriah needs to remove \(\boxed{15}\) toys.",15,15
mgsm-en-53,"To determine how much more revenue the mechanic earned on the day with higher revenue, we need to calculate the revenue for each day separately and then find the difference.

First, let's calculate the revenue for Thursday:
- The mechanic repairs 6 truck tires, and each truck tire repair costs $60.
- The revenue from truck tires on Thursday is:
  \[
  6 \times 60 = 360 \text{ dollars}
  \]
- The mechanic also repairs 4 car tires, and each car tire repair costs $40.
- The revenue from car tires on Thursday is:
  \[
  4 \times 40 = 160 \text{ dollars}
  \]
- The total revenue for Thursday is:
  \[
  360 + 160 = 520 \text{ dollars}
  \]

Next, let's calculate the revenue for Friday:
- The mechanic repairs 12 car tires, and each car tire repair costs $40.
- The revenue from car tires on Friday is:
  \[
  12 \times 40 = 480 \text{ dollars}
  \]
- The mechanic does not repair any truck tires on Friday, so the revenue from truck tires is:
  \[
  0 \text{ dollars}
  \]
- The total revenue for Friday is:
  \[
  480 + 0 = 480 \text{ dollars}
  \]

Now, we find the difference in revenue between Thursday and Friday:
\[
520 - 480 = 40 \text{ dollars}
\]

Thus, the mechanic earned \(\boxed{40}\) dollars more on Thursday.",40,40
mgsm-en-54,"To determine the total number of kittens the Doubtfire family now has, we need to follow these steps:

1. **Count the adopted kittens:**
   The Doubtfire sisters have 7 adopted kittens.

2. **Determine the number of kittens from Patchy:**
   Patchy has had thrice the number of adopted kittens. Therefore, the number of kittens from Patchy is:
   \[
   3 \times 7 = 21
   \]

3. **Determine the number of kittens from Trixie:**
   Trixie has had 12 kittens.

4. **Calculate the total number of kittens:**
   Add the number of adopted kittens, the kittens from Patchy, and the kittens from Trixie:
   \[
   7 + 21 + 12 = 40
   \]

Thus, the total number of kittens the Doubtfire family now has is \(\boxed{40}\).",40,40
mgsm-en-55,"Jean starts with 30 lollipops. After eating 2 lollipops, the number of lollipops left is:
\[ 30 - 2 = 28 \]

Next, Jean wants to package the remaining lollipops into bags, with each bag containing 2 lollipops. To find out how many bags can be filled, we divide the number of remaining lollipops by the number of lollipops per bag:
\[ 28 \div 2 = 14 \]

Therefore, Jean can fill \(\boxed{14}\) bags.",14,14
mgsm-en-56,"To determine how many times Peter can go to the movies, we need to calculate the total cost of one movie outing and then see how many such outings he can afford with his $42.

First, we calculate the total cost of one movie outing:
\[
\text{Cost of one movie outing} = \text{Cost of ticket} + \text{Cost of popcorn} = 7 + 7 = 14 \text{ dollars}
\]

Next, we need to find out how many times Peter can afford this outing with his $42. We do this by dividing his total money by the cost of one outing:
\[
\text{Number of outings} = \frac{42}{14} = 3
\]

Since the result is a whole number, Peter can go to the movies 3 times. Therefore, the final answer is:
\[
\boxed{3}
\]",3,3
