source,full_response,pred_number,answer
mgsm-bn-47,"Question: John buys twice as many Red ties as Blue ties. The price of a Red tie is 50% more than a Blue tie. He spends $200 to buy Blue ties at $40 each. How much did he spend in total on ties?

First, let's calculate the number of Blue ties John bought:
\[ \text{Number of Blue ties} = \frac{\text{Total spent on Blue ties}}{\text{Price per Blue tie}} = \frac{200}{40} = 5 \]

Next, since he buys twice as many Red ties as Blue ties:
\[ \text{Number of Red ties} = 2 \times \text{Number of Blue ties} = 2 \times 5 = 10 \]

Now, let's find the price of a Red tie. Given that the price of a Red tie is 50% more than a Blue tie, and a Blue tie costs $40:
\[ \text{Price of Red tie} = \text{Price of Blue tie} \times (1 + 0.50) = 40 \times 1.50 = 60 \]

Finally, let's calculate the total cost of the Red ties:
\[ \text{Total cost of Red ties} = \text{Number of Red ties} \times \text{Price per Red tie} = 10 \times 60 = 600 \]

Adding the cost of the Blue ties and the Red ties gives the total expenditure:
\[ \text{Total expenditure} = \text{Total cost of Blue ties} + \text{Total cost of Red ties} = 200 + 600 = 800 \]

Therefore, John spent a total of $800 on ties. The final answer is boxed as follows:
\\boxed{800}",800,800
mgsm-bn-48,"Question in English: Tracy used a stick 4 feet long for the tomato plant's stake in the garden. It was cut into pieces that were 6 inches long. How many pieces did she get?

To solve this, we first need to convert the length of the stick from feet to inches because the cut pieces are measured in inches. There are 12 inches in a foot.

So, the stick was 4 feet * 12 inches/foot = 48 inches long.

Now, we divide the total length of the stick by the length of each piece to find out how many pieces Tracy got:

48 inches / 6 inches/piece = 8 pieces

Therefore, the answer is $\\boxed{8}$.",8,8
mgsm-bn-49,"Question in English: Richard lives in an apartment building with 15 floors, and there are 8 units on each floor. The building is 3/4 occupied. How many units in the building are not occupied?

Let's solve this step by step:

1. Calculate the total number of units in the building:
   - There are 15 floors.
   - Each floor has 8 units.
   - Total units = 15 floors * 8 units/floor = 120 units.

2. Calculate the number of occupied units:
   - The building is 3/4 occupied.
   - Occupied units = 3/4 * 120 units = 90 units.

3. Calculate the number of unoccupied units:
   - Total units - Occupied units = Unoccupied units.
   - Unoccupied units = 120 units - 90 units = 30 units.

Therefore, the number of units in the building that are not occupied is \\boxed{30}.",30,30
mgsm-bn-50,"Question: There is a farm of Laydee. Every day, her chickens lay 252 eggs and she sells them at $2 per dozen. How much profit does she make per week from selling eggs?

To calculate the profit per week, we first need to find the daily profit and then multiply it by the number of days in a week.

1. Calculate daily profit:
   - Number of eggs per day = 252
   - Number of eggs in a dozen = 12
   - Selling price per dozen = $2
   - Daily profit = (252 / 12) * 2 = 21 * 2 = $42

2. Calculate weekly profit:
   - Number of days in a week = 7
   - Weekly profit = 42 * 7 = $294

Therefore, the weekly profit from selling eggs is $294.

$\\boxed{294}$",294,294
mgsm-bn-51,"Question in English: Tom's ship can travel 10 miles per hour. He sails from 1 PM to 4 PM and then sails back at a speed of 6 miles per hour. How long does it take for him to return?

To solve this, we first calculate the total distance Tom traveled. He sailed from 1 PM to 4 PM, which is 3 hours. At a speed of 10 miles per hour, the distance covered in 3 hours is:
\[ 10 \text{ miles/hour} \times 3 \text{ hours} = 30 \text{ miles} \]

Since he sailed back at a speed of 6 miles per hour, the time it takes to cover the 30 miles on the return trip is:
\[ \frac{30 \text{ miles}}{6 \text{ miles/hour}} = 5 \text{ hours} \]

Therefore, the time it takes for Tom to return is 5 hours. 

Enclosed in $\\boxed{}$ is the final number:
$\\boxed{5}$",5,5
mgsm-bn-52,"Question in English: The bag for Yura is getting very heavy. It needs to be reduced by 15 pounds. Each comic book weighs 1/4 pound and each game weighs 1/2 pound. If she brings out 30 comic books, how many games does she need to bring out to reduce the weight by 15 pounds?

Let's calculate the weight of the 30 comic books:
30 comic books * 1/4 pound per comic book = 7.5 pounds

The remaining weight to be reduced is:
15 pounds - 7.5 pounds = 7.5 pounds

Now, let's find out how many games are needed to reduce the weight by 7.5 pounds:
7.5 pounds / (1/2 pound per game) = 15 games

Therefore, the answer is $\boxed{15}$.",15,15
mgsm-bn-53,"Question: A mechanic charges different rates for repairing tires of trucks and cars. For each tire of a truck, he charges $60, and for each tire of a car, he charges $40. On Wednesday, he repaired 6 trucks' tires and 4 cars' tires. On Friday, he repaired 12 cars' tires but no trucks' tires. On which day did he earn more, and how much more did he earn on that day compared to the other day?

To find out the earnings on Wednesday and Friday, we can calculate as follows:

Wednesday earnings:
- For 6 trucks: $60 * 6 = $360
- For 4 cars: $40 * 4 = $160
- Total earnings on Wednesday: $360 + $160 = $520

Friday earnings:
- For 12 cars: $40 * 12 = $480
- Total earnings on Friday: $480

Now, we compare the earnings:
- Earnings on Wednesday: $520
- Earnings on Friday: $480

The difference in earnings between Wednesday and Friday is:
$520 - $480 = $40

Therefore, the mechanic earned $\\boxed{40}$ more on Wednesday than on Friday.",40,40
mgsm-bn-54,"Question: When Mr. Doubtfire returned home with 7 bathtime toys, his mother informed him that two of the bats had turned into bathtime toys. He said that among the toys he received, the first bat had three times as many bathtime toys as the second bat, and the second bat had 12 bathtime toys. How many bathtime toys are there in Mr. Doubtfire's family now?

Let's denote the number of bathtime toys from the second bat as x. According to the problem, the first bat had three times as many bathtime toys as the second bat, so the first bat had 3x toys. It is also given that the second bat had 12 toys, so x = 12.

The total number of bathtime toys is the sum of the toys from both bats:
\[ 3x + x = 3 \times 12 + 12 = 36 + 12 = 48 \]

Therefore, the number of bathtime toys in Mr. Doubtfire's family now is \(\boxed{48}\).",48,40
mgsm-bn-55,"Question in English: Jina has 30 lollipops. Jina ate 2 lollipops. In order to fill a bag with 2 lollipops each, how many bags can Jina fill with the remaining lollipops?

To solve this, we first need to find out how many lollipops are left after Jina ate 2 of them:
30 - 2 = 28 lollipops remaining.

Next, we divide the remaining lollipops by the number of lollipops needed for each bag:
28 ÷ 2 = 14 bags.

Therefore, Jina can fill 14 bags.

Enclosed in $\\boxed{}$ is: $\\boxed{14}$",14,14
mgsm-bn-56,"Question: Peter has made a plan to go to the movies this week. He always buys a $7 ticket and a $7 popcorn. If he has $42 this week, how many times can he go to the movies?

Let's solve this step by step:
1. Calculate the total cost for one visit to the movies:
   Ticket cost + Popcorn cost = $7 + $7 = $14
2. Determine how many times Peter can go to the movies with $42:
   Total money / Cost per visit = $42 / $14 = 3

Therefore, the answer is \\boxed{3}.",3,3
