source,full_response,pred_number,answer
mgsm-fr-47,"Translation of the question: Jean buys twice as many red ties as blue ones. The red ties cost 50% more than the blue ones. He spent $200 on the blue ties, which cost $40 each. How much did he spend on ties in total?

First, let's calculate the number of blue ties Jean bought:
\[
\text{Number of blue ties} = \frac{\text{Total spent on blue ties}}{\text{Cost per blue tie}} = \frac{200}{40} = 5
\]

Next, we determine the number of red ties:
\[
\text{Number of red ties} = 2 \times \text{Number of blue ties} = 2 \times 5 = 10
\]

Now, we calculate the cost of one red tie. Since red ties cost 50% more than blue ties:
\[
\text{Cost of one red tie} = \text{Cost of one blue tie} + 0.5 \times \text{Cost of one blue tie} = 40 + 0.5 \times 40 = 40 + 20 = 60
\]

Finally, we calculate the total amount spent on red ties:
\[
\text{Total spent on red ties} = \text{Number of red ties} \times \text{Cost of one red tie} = 10 \times 60 = 600
\]

Adding the total spent on blue ties and red ties gives us the total amount spent:
\[
\text{Total spent} = \text{Total spent on blue ties} + \text{Total spent on red ties} = 200 + 600 = 800
\]

The total amount Jean spent on ties is:
\\boxed{800}",800,800
mgsm-fr-48,"Translation of the question: To support her tomato plants in her garden, Tracy used a wire that was 4 feet long. This wire was cut into pieces that were 6 inches long each. How many pieces did she get?

To solve this, we need to convert the length of the wire from feet to inches because the length of each piece is given in inches. There are 12 inches in a foot. So, 4 feet is equal to 4 * 12 = 48 inches.

Next, we divide the total length of the wire by the length of each piece to find out how many pieces Tracy got:
48 inches / 6 inches per piece = 8 pieces.

So, Tracy got $\\boxed{8}$ pieces.",8,8
mgsm-fr-49,"Translation of the question into English:
Richard lives in one of the apartments in a 15-story building. Each floor contains 8 apartments. Given that 3/4 of the building is occupied, how many vacant apartments are there in the building?

To solve the problem:
1. Calculate the total number of apartments in the building:
\[ 15 \text{ floors} \times 8 \text{ apartments per floor} = 120 \text{ apartments} \]

2. Calculate the number of occupied apartments:
\[ \frac{3}{4} \times 120 = 90 \text{ apartments} \]

3. Calculate the number of vacant apartments:
\[ 120 - 90 = 30 \text{ apartments} \]

The number of vacant apartments in the building is \\boxed{30}",30,30
mgsm-fr-50,"Translation of the question: Lloyd has a chicken coop. His chickens produce 252 eggs per day and they sell them for $2 per dozen. How much money does Lloyd make in a week from his eggs?

To solve this, we first need to find out how many dozens of eggs Lloyd gets per day. Since there are 12 eggs in a dozen, we divide the total number of eggs by 12:

$$\frac{252}{12} = 21 \text{ dozens per day}$$

Next, we calculate the daily earnings by multiplying the number of dozens by the price per dozen:

$$21 \times 2 = 42 \text{ dollars per day}$$

Finally, to find out the weekly earnings, we multiply the daily earnings by the number of days in a week:

$$42 \times 7 = 294 \text{ dollars per week}$$

So Lloyd makes $\\boxed{294}$ dollars in a week from his eggs.",294,294
mgsm-fr-51,"Translation of the question: Tom's boat moves at 10 miles per hour. He sails from 13:00 to 16:00, then sets out on the return trip at a speed of 6 miles per hour. How long will it take him to return?

To solve this, we need to calculate the total distance Tom travels and then determine the time it takes for him to return.

1. Calculate the distance traveled during the outbound trip:
   - Time spent sailing: 16:00 - 13:00 = 3 hours
   - Speed: 10 miles per hour
   - Distance = Speed × Time = 10 miles/hour × 3 hours = 30 miles

2. Calculate the time required for the return trip:
   - Speed for the return trip: 6 miles per hour
   - Distance for the return trip: 30 miles
   - Time = Distance / Speed = 30 miles / 6 miles/hour = 5 hours

Therefore, the time it will take Tom to return is $\\boxed{5}$.",5,5
mgsm-fr-52,"Translation of the question into English:
Uriah's bag becomes too heavy for him. He needs to reduce his weight by 15 pounds. Each of his comic strips weighs 1/4 pound and each of his toys weighs 1/2 pound. If he removes 30 comic strips, how many toys must he remove?

Let's solve the problem step by step:

1. **Calculate the weight of the comic strips removed:**
   - Each comic strip weighs 1/4 pound.
   - 30 comic strips weigh \( 30 \times \frac{1}{4} = 7.5 \) pounds.

2. **Determine the remaining weight reduction needed:**
   - Total weight reduction needed: 15 pounds.
   - Weight reduction from comic strips: 7.5 pounds.
   - Remaining weight reduction needed: \( 15 - 7.5 = 7.5 \) pounds.

3. **Calculate the number of toys to be removed:**
   - Each toy weighs 1/2 pound.
   - Number of toys to be removed: \( \frac{7.5}{\frac{1}{2}} = 7.5 \times 2 = 15 \) toys.

The number of toys that must be removed is $\\boxed{15}$.",15,15
mgsm-fr-53,"Translation of the question: A mechanic charges different repair rates for truck tires and car tires. For each truck tire repaired, he charges $60, and for each car tire, he charges $40. On Thursday, he repairs 6 truck tires and 4 car tires. On Friday, he repairs 12 car tires and no truck tires. On which day did the mechanic earn the most money, and how much more did he earn that day compared to the other days?

First, let's calculate the earnings for Thursday:
- Earnings from truck tires: 6 * $60 = $360
- Earnings from car tires: 4 * $40 = $160
- Total earnings on Thursday: $360 + $160 = $520

Next, let's calculate the earnings for Friday:
- Earnings from car tires: 12 * $40 = $480
- Total earnings on Friday: $480

Comparing the earnings from Thursday and Friday:
- Thursday's earnings: $520
- Friday's earnings: $480

The difference in earnings between Friday and Thursday is:
$520 - $480 = $40

Therefore, on the day with the highest earnings, the mechanic earned $\\boxed{40}$ more.",40,40
mgsm-fr-54,"Translation of the question:
The Doubtfire sisters leave the local animal shelter with 7 adopted kittens in their car. On their way back, they receive a call from their mother, who informs them that their two domestic cats just had kittens. She says that Patchy, the first cat, had three times the number of adopted kittens, while Trixie had 12. How many kittens does the Doubtfire family have now?

To solve the problem, we need to calculate the total number of kittens the Doubtfire family has.

1. Determine the number of kittens Patchy had:
   - Patchy had three times the number of adopted kittens.
   - The number of adopted kittens is 7.
   - Therefore, Patchy had \( 3 \times 7 = 21 \) kittens.

2. Determine the number of kittens Trixie had:
   - Trixie had 12 kittens.

3. Calculate the total number of kittens:
   - Number of adopted kittens: 7
   - Number of kittens Patchy had: 21
   - Number of kittens Trixie had: 12
   - Total number of kittens: \( 7 + 21 + 12 = 40 \)

Therefore, the Doubtfire family has now a total of $\\boxed{40}$ kittens.",40,40
mgsm-fr-55,"First, let's translate the question into English:
""Jean has 30 lollipops. He eats 2. With the remaining lollipops, he wants to make bags with 2 lollipops in each. How many bags can Jean make?""

Now, let's solve the problem:
1. Jean starts with 30 lollipops.
2. He eats 2 lollipops, so he has \( 30 - 2 = 28 \) lollipops left.
3. He wants to put 2 lollipops in each bag. 
4. To find out how many bags he can make, we divide the remaining lollipops by 2: \( 28 \div 2 = 14 \).

Therefore, Jean can make 14 bags.

Enclosed in $\\boxed{}$ is the final number:
$\\boxed{14}$",14,14
mgsm-fr-56,"Translation of the question into English:
Pierre plans to go to the cinema this week. He always buys a $7 ticket and $7 worth of popcorn. If he has $42 for the week, how many times can he go to the cinema?

To solve this, we first calculate the total cost for one visit to the cinema:
\[ \text{Cost per visit} = \$7 \text{ (ticket)} + \$7 \text{ (popcorn)} = \$14 \]

Next, we determine how many times he can go to the cinema with $42:
\[ \text{Number of visits} = \frac{\$42}{\$14 \text{ per visit}} = 3 \]

So, the number of times Pierre can go to the cinema is:
\\boxed{3}",3,3
mgsm-fr-57,"Translation of the question into English:
A delivery truck is about to cross a wooden bridge that can only support a load of no more than 5000 pounds. The truck is filled with identical boxes, each weighing 15 pounds. The combined weight of the driver and the empty truck is 3755 pounds. How many boxes can be loaded onto the truck without exceeding the bridge's weight limit?

To solve this, we first need to determine the maximum allowable weight of the boxes. Since the bridge can support a maximum of 5000 pounds and the driver and empty truck weigh 3755 pounds, the remaining weight capacity for the boxes is:

5000 - 3755 = 1245 pounds

Each box weighs 15 pounds, so the number of boxes that can be loaded without exceeding the bridge's weight limit is:

1245 ÷ 15 = 83

Therefore, the number of boxes that can be loaded onto the truck without exceeding the bridge's weight limit is \\boxed{83}.",83,83
mgsm-fr-58,"Translation of the question:
Stéphane ordered groceries online. His final bill amounts to $40.00. As it was a delivery service provider, the bill was increased by 25% and had an additional $3.00 delivery fee. Stéphane also tipped $4.00. Including the additional fees, what was the final price of Stéphane's grocery order?

To find the final price of Stéphane's grocery order, we need to follow these steps:

1. Calculate the increase due to the 25% delivery charge on the original $40.00 bill.
2. Add the $3.00 delivery fee to the increased amount.
3. Add the $4.00 tip to the total from step 2.

Step 1: Calculate the 25% increase:
\[ 25\% \text{ of } 40.00 = 0.25 \times 40.00 = 10.00 \]

Step 2: Add the $3.00 delivery fee to the increased amount:
\[ 40.00 + 10.00 + 3.00 = 53.00 \]

Step 3: Add the $4.00 tip to the total from step 2:
\[ 53.00 + 4.00 = 57.00 \]

Therefore, the final price of Stéphane's grocery order is $57.00.

Enclosed in $\\boxed{}$ is the final number:
$\\boxed{57.00}$",0,57
mgsm-fr-59,"Translation of the question into English:
A raspberry has 6 clusters with 20 fruits each, as well as 67 isolated fruits scattered on the bush. How many raspberries are there in total?

To find the total number of raspberries, we need to calculate the number of fruits in the clusters and add the isolated fruits.

1. Calculate the number of fruits in the clusters:
   Each cluster has 20 fruits, and there are 6 clusters.
   \[
   6 \text{ clusters} \times 20 \text{ fruits/cluster} = 120 \text{ fruits}
   \]

2. Add the isolated fruits to the total:
   There are 67 isolated fruits.
   \[
   120 \text{ fruits} + 67 \text{ fruits} = 187 \text{ fruits}
   \]

Therefore, the total number of raspberries is $\boxed{187}$.",187,187
mgsm-fr-60,"Translation of the question: A basket contains 25 oranges, one of which is spoiled, 20% are not ripe, 2 are sour, and the rest are good. How many oranges are good?

To find out how many oranges are good, we need to follow these steps:

1. Calculate the number of not ripe oranges: 20% of 25 oranges = 0.20 * 25 = 5 oranges.
2. Subtract the spoiled, not ripe, and sour oranges from the total to find the good oranges: 25 - 1 (spoiled) - 5 (not ripe) - 2 (sour) = 17 oranges.

Therefore, the number of good oranges is $\\boxed{17}$.",17,17
mgsm-fr-61,"Translation of the question into English:
Janet buys a pin for her daughter. She spends $500 on the materials, then an additional $800 for it to be made by a jeweler. She then spends 10% of this total amount to insure it. How much has she spent in total?

To answer this question, let's break down the expenses:

1. Cost of materials: $500
2. Cost for the jeweler: $800
3. Total cost before insurance: $500 + $800 = $1300
4. Insurance cost: 10% of $1300 = 0.10 * $1300 = $130
5. Total cost including insurance: $1300 + $130 = $1430

The total amount Janet has spent is $\\boxed{1430}",1430,1430
mgsm-fr-62,"Translation of the question:
If Marcy works for the same company for 40 years and receives an annual pension of $50,000, she is entitled to an additional 5% of this amount per year after working for 20 years. Assuming she quits after 30 years of service, what will her annual pension be?

To calculate Marcy's annual pension after 30 years of service:
1. First, calculate the pension she receives after 20 years of service:
   - Initial pension: $50,000
   - Additional 5% after 20 years: $50,000 * 0.05 = $2,500
   - Total pension after 20 years: $50,000 + $2,500 = $52,500

2. Since Marcy quits after 30 years of service, she does not receive the additional 5% increase. Therefore, her annual pension remains at the amount she received after 20 years of service.

So, Marcy's annual pension will be $52,500.

The final answer is enclosed in $\\boxed{52500}$.",52500,25000
mgsm-fr-63,"Translation of the question: Aleena subscribed to a streaming service that charges $140 per month. If the streaming service charged this amount for the first half of the year, and then 10% less for the second half of the year, what is the total amount she paid for the streaming service at the end of the year?

To solve this, we first calculate the amount paid in the first half of the year and the second half of the year.

1. **First half of the year (6 months):**
   \[
   \text{Amount per month} = \$140
   \]
   \[
   \text{Total for first half} = 6 \times \$140 = \$840
   \]

2. **Second half of the year (6 months):**
   - The amount per month is 10% less than the original $140.
   - Calculate the reduced amount:
   \[
   \text{Reduced amount} = \$140 - (0.10 \times \$140) = \$140 - \$14 = \$126
   \]
   - Total for the second half:
   \[
   \text{Total for second half} = 6 \times \$126 = \$756
   \]

3. **Total amount paid for the year:**
   \[
   \text{Total for the year} = \text{Total for first half} + \text{Total for second half} = \$840 + \$756 = \$1596
   \]

The total amount Aleena paid for the streaming service at the end of the year is $\boxed{1596}$.",1596,1596
