source,full_response,pred_number,answer
mgsm-en-47,"He bought 200/40*2=$100 worth of blue ties
He bought 100/2*2=$100 worth of red ties
He spent 100+100=$200 on ties

Therefore, the answer is 200.",200,800
mgsm-en-48,"First, we need to convert the length of the wire from feet to inches to match the unit of the wire pieces. Since 1 foot is equal to 12 inches, 4 feet is equal to 48 inches.

Next, we divide the total length of the wire by the length of each piece to find out how many pieces Tracy obtained.

$$
\frac{48 \text{ inches}}{6 \text{ inches per piece}} = 8 \text{ pieces}
$$

So, Tracy obtained $8$ pieces of wire.",8,8
mgsm-en-49,"To determine the total number of unoccupied units in the building, we need to follow these steps:

1. Calculate the total number of units in the building.
2. Determine the number of units occupied by Richard.
3. Subtract the number of occupied units from the total number of units to find the number of unoccupied units.

First, we calculate the total number of units in the building. Since there are 15 floors and each floor contains 8 units, the total number of units is:
\[ 15 \times 8 = 120 \]

Next, we need to find out how many units are occupied. Since 3/4 of the building is occupied, we calculate 3/4 of 120:
\[ \frac{3}{4} \times 120 = 90 \]

This means that 90 units are occupied. To find the number of unoccupied units, we subtract the number of occupied units from the total number of units:
\[ 120 - 90 = 30 \]

Therefore, the total number of unoccupied units in the building is:
\[ \boxed{30} \]",30,30
mgsm-en-50,"To determine how much Lloyd makes on eggs per week, we need to follow these steps:

1. Calculate the total number of eggs produced per day.
2. Determine the total number of eggs produced per week.
3. Calculate the total revenue from selling the eggs per week.

First, we know that Lloyd's chickens produce 252 eggs per day. Since there are 7 days in a week, the total number of eggs produced per week is:
\[ 252 \text{ eggs/day} \times 7 \text{ days/week} = 1764 \text{ eggs/week} \]

Next, we need to find out how many dozens of eggs are in 1764 eggs. Since there are 12 eggs in a dozen, we divide the total number of eggs by 12:
\[ 1764 \text{ eggs/week} \div 12 \text{ eggs/dozen} = 147 \text{ dozens/week} \]

Lloyd sells each dozen of eggs for $2. Therefore, the total revenue per week is:
\[ 147 \text{ dozens/week} \times 2 \text{ dollars/dozen} = 294 \text{ dollars/week} \]

So, the amount Lloyd makes on eggs per week is:
\[ \boxed{294} \]",294,294
mgsm-en-51,"To determine how long it takes Tom to travel back to his starting point, we need to calculate the time it takes for him to travel from 4 PM to 1 PM at a speed of 6 mph. 

First, we calculate the distance between 1 PM and 4 PM. Since the time difference is 3 hours, and Tom's speed is 6 mph, the distance is:
\[ \text{Distance} = \text{Speed} \times \text{Time} = 6 \text{ mph} \times 3 \text{ hours} = 18 \text{ miles} \]

Next, we need to find out how long it takes to travel this distance at 6 mph. The time taken is:
\[ \text{Time} = \frac{\text{Distance}}{\text{Speed}} = \frac{18 \text{ miles}}{6 \text{ mph}} = 3 \text{ hours} \]

Therefore, it takes Tom 3 hours to travel back to his starting point. The final answer is:
\[ \boxed{3} \]",3,5
mgsm-en-52,"To solve this problem, let's break it down into steps:

1. **Calculate the total weight of the comic books:**
   - Each comic book weighs \( \frac{1}{4} \) pound.
   - Uriah removes 30 comic books.
   - Total weight of comic books = \( 30 \times \frac{1}{4} = \frac{30}{4} = 7.5 \) pounds.

2. **Determine the remaining weight after removing the comic books:**
   - Uriah needs to remove 15 pounds in total.
   - After removing 7.5 pounds from the comic books, the remaining weight is \( 15 - 7.5 = 7.5 \) pounds.

3. **Calculate the weight of each toy:**
   - Each toy weighs \( \frac{1}{2} \) pound.

4. **Determine how many toys Uriah needs to remove to reach the remaining weight:**
   - Let \( x \) be the number of toys.
   - Total weight of toys = \( x \times \frac{1}{2} \).
   - We need \( x \times \frac{1}{2} = 7.5 \).

5. **Solve for \( x \):**
   - \( x = 7.5 \times 2 = 15 \).

Therefore, Uriah needs to remove 15 toys to reach the total weight of 15 pounds.",15,15
mgsm-en-53,"To determine how much more revenue the mechanic earned on the day with higher revenue, we need to calculate the total revenue for both Thursday and Friday and then find the difference.

First, let's calculate the revenue for Thursday:
- The mechanic charges $60 for each truck tire and repaired 6 truck tires.
- The mechanic charges $40 for each car tire and repaired 4 car tires.

The revenue from truck tires on Thursday is:
\[ 6 \text{ tires} \times \$60/\text{tire} = \$360 \]

The revenue from car tires on Thursday is:
\[ 4 \text{ tires} \times \$40/\text{tire} = \$160 \]

The total revenue for Thursday is:
\[ \$360 + \$160 = \$520 \]

Next, let's calculate the revenue for Friday:
- The mechanic charges $60 for each truck tire and did not repair any truck tires.
- The mechanic charges $40 for each car tire and repaired 12 car tires.

The revenue from truck tires on Friday is:
\[ 0 \text{ tires} \times \$60/\text{tire} = \$0 \]

The revenue from car tires on Friday is:
\[ 12 \text{ tires} \times \$40/\text{tire} = \$480 \]

The total revenue for Friday is:
\[ \$0 + \$480 = \$480 \]

Now, we compare the revenues from both days:
- Revenue on Thursday: \$520
- Revenue on Friday: \$480

The difference in revenue between Thursday and Friday is:
\[ \$520 - \$480 = \$40 \]

Thus, the mechanic earned \(\boxed{40}\) dollars more on Thursday.",40,40
mgsm-en-54,"To determine the total number of kittens the Doubtfire family now has, we need to follow these steps:

1. Identify the number of adopted kittens Patchy has.
2. Identify the number of adopted kittens Trixie has.
3. Add the number of adopted kittens Patchy and Trixie have to the number of adopted kittens they originally had.

First, we know that Patchy has had thrice the number of adopted kittens as the adopted kittens from the local animal shelter. Since the local animal shelter had 7 adopted kittens, Patchy has had \(3 \times 7 = 21\) adopted kittens.

Next, we know that Trixie has had 12 adopted kittens.

The original number of adopted kittens the Doubtfire family had is not specified, but we can assume it is 0 since no other information is given. Therefore, the total number of adopted kittens is the sum of the adopted kittens from the local animal shelter and the adopted kittens from Patchy and Trixie.

So, the total number of adopted kittens is \(7 + 21 + 12 = 40\).

Since no other information is given about the original number of adopted kittens, we can assume that the total number of adopted kittens is 40. Therefore, the total number of kittens the Doubtfire family now has is \(40 + 7 = 47\).

The final answer is \(\boxed{47}\).",47,40
mgsm-en-55,"To determine how many bags Jean can fill with the remaining lollipops, we need to follow these steps:

1. Start with the total number of lollipops Jean has.
2. Subtract the number of lollipops Jean eats.
3. Divide the remaining number of lollipops by the number of lollipops per bag to find out how many bags Jean can fill.

Let's go through the calculations step by step:

1. Jean starts with 30 lollipops.
2. Jean eats 2 lollipops, so we subtract 2 from 30:
   \[
   30 - 2 = 28
   \]
   Now Jean has 28 lollipops left.
3. Jean wants to package 2 lollipops in one bag. To find out how many bags she can fill, we divide the remaining number of lollipops by 2:
   \[
   28 \div 2 = 14
   \]
   So, Jean can fill 14 bags.

The final answer is:
\[
\boxed{14}
\]",14,14
mgsm-en-56,"To determine how many times Peter can go to the movies this week, we first need to calculate the total cost for one movie and popcorn session. The cost for one movie is $7 and the cost for one bag of popcorn is $7, so the total cost for one movie and popcorn session is:

\[7 + 7 = 14\]

Next, we need to find out how many times Peter can spend $14 in his $42 budget. We do this by dividing his total budget by the cost of one movie and popcorn session:

\[42 \div 14 = 3\]

Therefore, Peter can go to the movies 3 times this week. The final answer is:

\[\boxed{3}\]",3,3
