source,full_response,pred_number,answer
mgsm-fr-0,"Janet's ducks lay 16 eggs per day. She eats 3 eggs for breakfast every morning and uses 4 eggs to bake muffins for her friends. Therefore, the total number of eggs she uses each day is:

\[ 3 + 4 = 7 \]

The number of eggs remaining after she uses some for breakfast and baking is:

\[ 16 - 7 = 9 \]

She sells the remaining 9 eggs at the farmers' market for $2 per egg. The total amount of money she makes from selling the eggs is:

\[ 9 \times 2 = 18 \]

Thus, the amount of money Janet makes every day at the farmers' market is \(\boxed{18}\).",18,18
mgsm-fr-1,"Pour confectionner une robe, on utilise 2 boulettes de fibres bleues et la moitié de cette quantité en fibres blanches. Donc, on utilise $\frac{2}{2} = 1$ boulette de fibres blanches. En additionnant les deux quantités, on obtient $2 + 1 = 3$ boulettes en tout. Donc, la réponse est $\boxed{3}$.",3,3
mgsm-fr-2,"Josh a acheté une maison pour 80 000 dollars et a investi 50 000 dollars dans des réparations. La valeur de la maison a augmenté de 150% après les réparations. Pour calculer la valeur de la maison après les réparations, nous devons augmenter la valeur initiale de 80 000 dollars de 150%.

1. Calculons la valeur de la maison après les réparations :
   \[
   \text{Valeur initiale} = 80 000 \text{ dollars}
   \]
   \[
   \text{Augmentation} = 150\% \text{ de } 80 000 \text{ dollars} = 1.5 \times 80 000 = 120 000 \text{ dollars}
   \]
   \[
   \text{Valeur après réparations} = 80 000 + 120 000 = 200 000 \text{ dollars}
   \]

2. Calculons le coût total de l'achat et des réparations :
   \[
   \text{Coût total} = 80 000 + 50 000 = 130 000 \text{ dollars}
   \]

3. Calculons le profit en soustrayant le coût total du prix de vente :
   \[
   \text{Profit} = 200 000 - 130 000 = 70 000 \text{ dollars}
   \]

Donc, le profit que Josh a fait est de \boxed{70000} dollars.",70000,70000
mgsm-fr-3,"James fait 3 sprints 3 fois par semaine. Chaque sprint est de 60 mètres. Pour calculer le nombre total de mètres qu'il court par semaine, nous devons multiplier le nombre de sprints par le nombre de fois par semaine qu'il les fait, puis multiplier par la distance de chaque sprint.

Calculons d'abord le nombre de sprints par semaine :
\[ 3 \text{ sprints/séance} \times 3 \text{ séances/semaine} = 9 \text{ sprints/semaine} \]

Puis, multiplions le nombre de sprints par la distance de chaque sprint :
\[ 9 \text{ sprints/semaine} \times 60 \text{ mètres/sprint} = 540 \text{ mètres/semaine} \]

Donc, James court un total de $\boxed{540}$ mètres par semaine.",540,540
mgsm-fr-4,"Pour déterminer combien de nourriture Wendi doit donner à ses poules lors du dernier repas de la journée, nous devons d'abord calculer combien de nourriture chaque poule mange en totalité et ensuite voir combien de nourriture reste à donner après les deux premiers repas.

Chaque poule mange 3 tasses de nourriture par jour. Avec 20 poules, le total de nourriture nécessaire par jour est:
\[ 20 \text{ poules} \times 3 \text{ tasses/poule} = 60 \text{ tasses} \]

Wendi donne 15 tasses de nourriture le matin et 25 tasses l'après-midi. Le total de nourriture donnée jusqu'à présent est:
\[ 15 \text{ tasses} + 25 \text{ tasses} = 40 \text{ tasses} \]

Pour trouver combien de nourriture reste à donner, nous soustrayons le total déjà donné de la nourriture totale nécessaire:
\[ 60 \text{ tasses} - 40 \text{ tasses} = 20 \text{ tasses} \]

Donc, Wendi doit donner $\boxed{20}$ tasses de nourriture lors du dernier repas de la journée.",20,20
mgsm-fr-5,"Pour calculer le coût total des verres, nous devons prendre en compte que le deuxième verre coûte 60% du prix d'un verre normal. Voici le calcul étape par étape :

1. Le prix d'un verre normal est de $5.
2. Le prix du deuxième verre est de $5 \times 0.60 = $3.

Si Kylar achète 16 verres, on peut diviser le nombre de verres par 2 pour obtenir le nombre de paires de verres, et chaque paire coûte $5 + $3 = $8.

3. Le nombre de paires de verres est $\frac{16}{2} = 8$.
4. Le coût total pour 8 paires de verres est $8 \times 8 = $64.

Donc, Kylar doit payer $\boxed{64}$ dollars pour les 16 verres.",16,64
mgsm-fr-6,"Pour résoudre ce problème, commençons par identifier les informations données et les relations entre les quantités de moutons.

1. Seattle a 20 moutons.
2. Charleston a 4 fois plus de moutons que Seattle. Donc, le nombre de moutons de Charleston est \( 4 \times 20 = 80 \).
3. Toulouse a 2 fois plus de moutons que Charleston. Donc, le nombre de moutons de Toulouse est \( 2 \times 80 = 160 \).

Maintenant, nous devons additionner le nombre de moutons de Toulouse, Charleston, et Seattle pour obtenir le total.

\[
20 \, (\text{Seattle}) + 80 \, (\text{Charleston}) + 160 \, (\text{Toulouse}) = 260
\]

Donc, le nombre total de moutons que Toulouse, Charleston, et Seattle ont ensemble est \(\boxed{260}\).",260,260
mgsm-fr-7,"Pour résoudre ce problème, nous devons décomposer le processus de téléchargement en plusieurs étapes et calculer le temps total nécessaire.

1. **Déterminer la taille du fichier à télécharger :**
   - La taille totale du fichier est de 200 GB.

2. **Calculer la vitesse de téléchargement :**
   - La vitesse de téléchargement est de 2 GB/minute.

3. **Calculer le temps nécessaire pour télécharger 40% du fichier :**
   - 40% de 200 GB est \( 0.4 \times 200 = 80 \) GB.
   - Le temps pour télécharger 80 GB à une vitesse de 2 GB/minute est \( \frac{80 \text{ GB}}{2 \text{ GB/minute}} = 40 \) minutes.

4. **Incorporer le temps de redémarrage :**
   - Le redémarrage prend 20 minutes.

5. **Calculer le temps nécessaire pour télécharger les 60% restants du fichier :**
   - 60% de 200 GB est \( 0.6 \times 200 = 120 \) GB.
   - Le temps pour télécharger 120 GB à une vitesse de 2 GB/minute est \( \frac{120 \text{ GB}}{2 \text{ GB/minute}} = 60 \) minutes.

6. **Sommer tous les temps :**
   - Temps pour télécharger 40% : 40 minutes
   - Temps de redémarrage : 20 minutes
   - Temps pour télécharger les 60% restants : 60 minutes
   - Total : \( 40 + 20 + 60 = 120 \) minutes.

Donc, le temps total nécessaire pour télécharger le fichier est de 120 minutes. 

\[
\boxed{120}
\]",120,160
mgsm-fr-8,"John a d'abord conduit pendant 3 heures à une vitesse de 60 mph. Le chemin qu'il a parcouru est donc de \(3 \times 60 = 180\) miles.

En retournant, il passe 2 heures dans le standstill traffic, donc il ne fait pas de progrès pendant ce temps. Puis, il conduit pendant 30 minutes (0.5 heure) à une vitesse de 30 mph, parcourant \(0.5 \times 30 = 15\) miles. Il a donc 4 heures totales pour le retour et il a déjà utilisé 2.5 heures, donc il lui reste \(4 - 2.5 = 1.5\) heures pour le reste du voyage. Il conduit pendant ces 1.5 heures à une vitesse de 80 mph, parcourant \(1.5 \times 80 = 120\) miles.

Le total de la distance qu'il a parcourue en retournant est donc \(15 + 120 = 135\) miles. 

La distance qu'il est encore loin de chez lui est donc la différence entre la distance qu'il a d'abord parcourue et la distance qu'il a parcourue en retournant : \(180 - 135 = 45\) miles.

Donc, la distance qu'il est encore loin de chez lui à la fin de ces 4 heures est de \(\boxed{45}\) miles.",45,45
mgsm-fr-9,"Eliza travaille 45 heures cette semaine, ce qui signifie qu'elle travaille 40 heures à temps plein et 5 heures supplémentaires. Son taux horaire normal est de 10 dollars l'heure. Son taux horaire pour les heures supplémentaires est de 1.2 fois son taux horaire normal, soit 12 dollars l'heure.

Pour calculer ses revenus pour cette semaine, nous devons d'abord calculer ses revenus pour les 40 heures à temps plein et ensuite pour les 5 heures supplémentaires.

1. Calcul des revenus pour les 40 heures à temps plein:
\[ 40 \text{ heures} \times 10 \text{ dollars/heure} = 400 \text{ dollars} \]

2. Calcul des revenus pour les 5 heures supplémentaires:
\[ 5 \text{ heures} \times 12 \text{ dollars/heure} = 60 \text{ dollars} \]

3. Somme totale des revenus pour la semaine:
\[ 400 \text{ dollars} + 60 \text{ dollars} = 460 \text{ dollars} \]

Donc, les revenus d'Eliza pour cette semaine sont de \(\boxed{460}\) dollars.",460,460
