source,full_response,pred_number,answer
mgsm-ru-0,"Джанет каждое утро получает 16 яиц от своих уток. Она ест 3 яйца для завтрака и использует 4 яйца для выпечки muffins для друзей. Таким образом, количество яиц, которое она продает на ярмарке, составляет:

\[ 16 - 3 - 4 = 9 \]

Каждое яйцо она продает за 2 доллара. Следовательно, доход от продажи яиц составляет:

\[ 9 \times 2 = 18 \]

Таким образом, Джанет зарабатывает на ярмарке каждый день \(\boxed{18}\) долларов.",18,18
mgsm-ru-1,"Для того чтобы определить общее количество болов волокна, необходимых дляrobe, давайте сначала определим количество каждого типа волокна.

1. Количество болов синего волокна: 2 болов.
2. Количество болов белого волокна: половину количества синего волокна, то есть \(\frac{2}{2} = 1\) болов.

Теперь сложим оба количества:

\[
2 \text{ (синего волокна)} + 1 \text{ (белого волокна)} = 3 \text{ болов}
\]

Таким образом, в общей сложности требуется 3 болов волокна. 

\(\boxed{3}\)",3,3
mgsm-ru-2,"Джош купил дом за $80,000 и потратил $50,000 на ремонт. Это увеличение стоимости дома на 150% означает, что новая стоимость дома составляет $80,000 + $50,000 = $130,000 плюс 150% от $130,000. 

150% от $130,000 равно \( 1.5 \times 130,000 = 195,000 \). Следовательно, новая стоимость дома составляет \( 130,000 + 195,000 = 325,000 \).

Стоимость, которую Джош вложил в дом, составляет $80,000 + $50,000 = $130,000. 

Для вычисления прибыли мы вычитаем из новой стоимости дома стоимость, которую Джош вложил:
\[ 325,000 - 130,000 = 195,000 \]

Таким образом, Джош заработал $\boxed{195000}$ долларов.",195000,70000
mgsm-ru-3,"Джеймс выполняет 3 бега 3 раза в неделю. В каждом беге он бежит 60 метров. Чтобы узнать, сколько метров он бежит за неделю, нужно умножить количество бегов на количество раз в неделю и длину каждого бега.

\[
3 \text{ бега} \times 3 \text{ раза в неделю} \times 60 \text{ метров} = 540 \text{ метров}
\]

Таким образом, Джеймс бежит за неделю $\boxed{540}$ метров.",540,540
mgsm-ru-4,"Каждая курица получает 3 кружки корма в день. У Wendi 20 кур, значит в день они потребляют \(20 \times 3 = 60\) кружек корма. В течение дня Wendi уже дала курам 15 кружек утром и 25 кружек днем, что составляет \(15 + 25 = 40\) кружек. Следовательно, в последнем приеме корма ей нужно дать \(60 - 40 = 20\) кружек корма. $\boxed{20}$",20,20
mgsm-ru-5,"Кирлар хочет купить 16 стаканов. Стоимость одного стакана составляет $5, а каждый второй стакан стоит только 60% от этой цены, то есть $5 \times 0.6 = $3.

Для того чтобы определить общую стоимость, давайте сначала рассмотрим, сколько стаканов стоит по $5 и сколько по $3. Из 16 стаканов каждый второй будет стоить $3, а каждый первый — $5. Таким образом, у нас будет 8 стаканов по $5 и 8 стаканов по $3.

Теперь вычислим общую стоимость:
\[
8 \times 5 + 8 \times 3 = 40 + 24 = 64
\]

Таким образом, Кирлару нужно заплатить \boxed{64} долларов.",64,64
mgsm-ru-6,"Для решения задачи, сначала определим количество овец в каждом городе.

1. Известно, чтоSeattle имеет 20 овец.
2. Charleston имеет 4 раза больше овец, чем Seattle. Следовательно, количество овец в Charleston:
   \[
   4 \times 20 = 80
   \]
3. Toulouse имеет в два раза больше овец, чем Charleston. Следовательно, количество овец в Toulouse:
   \[
   2 \times 80 = 160
   \]

Теперь суммируем количество овец в всех трех городах:
\[
20 + 80 + 160 = 260
\]

Итак, общее количество овец в Toulouse, Charleston и Seattle составляет $\boxed{260}$.",260,260
mgsm-ru-7,"Для решения задачи, давайте разобьем процесс на несколько этапов.

1. **Первый этап:**
   - Объем файла: 200 ГБ.
   - Скорость загрузки: 2 ГБ/минуту.
   - 40% от 200 ГБ: \( 0.4 \times 200 = 80 \) ГБ.
   - Время загрузки первых 80 ГБ: \( \frac{80}{2} = 40 \) минут.

2. **Второй этап:**
   - После загрузки 80 ГБ, Windows вынуждает перезагрузку.
   - Время перезагрузки: 20 минут.

3. **Третий этап:**
   - После перезагрузки, процесс начинается сначала.
   - Теперь нужно загрузить весь файл заново: 200 ГБ.
   - Время загрузки 200 ГБ: \( \frac{200}{2} = 100 \) минут.

4. **Общее время:**
   - Суммируем все этапы: \( 40 + 20 + 100 = 160 \) минут.

Таким образом, общее время, необходимое для загрузки файла, составляет $\boxed{160}$ минут.",160,160
mgsm-ru-8,"Джон едет на машине 3 часа со скоростью 60 миль в час. Таким образом, он проезжает \(3 \times 60 = 180\) миль до дома. Затем он возвращается, но в пути сталкивается с пробками и едет 2 часа, а затем еще 0,5 часа со скоростью 30 миль в час. Время, проведенное в пробках, не влияет на расстояние, которое он проехал. В течение следующих 1,5 часа он едет со скоростью 80 миль в час, поэтому он проезжает \(1.5 \times 80 = 120\) миль.

Общее расстояние, которое он проехал на обратном пути, составляет \(120 + 0 = 120\) миль. Таким образом, он все еще находится в 60 милях от дома, так как он проехал только 120 миль из 180 миль обратно.

Ответ: \(\boxed{60}\)",60,45
mgsm-ru-9,"Чтобы определить заработную плату Элизы за эту неделю, нужно рассчитать её обычную заработную плату за первые 40 часов и её заработную плату за дополнительные 5 часов (так как она работала 45 часов в неделю).

1. **Расчет заработной платы за первые 40 часов:**
   - Стандартная ставка за час: $10
   - Часы работы: 40
   - Заработная плата за первые 40 часов: \( 10 \times 40 = 400 \) долларов

2. **Расчет заработной платы за дополнительные 5 часов:**
   - Ставка за дополнительные часы: \( 10 \times 1.2 = 12 \) долларов за час
   - Часы работы: 5
   - Заработная плата за дополнительные 5 часов: \( 12 \times 5 = 60 \) долларов

3. **Общая заработная плата за неделю:**
   - Сумма за первые 40 часов: 400 долларов
   - Сумма за дополнительные 5 часов: 60 долларов
   - Общая заработная плата: \( 400 + 60 = 460 \) долларов

Итак, заработная плата Элизы за эту неделю составляет \(\boxed{460}\) долларов.",460,460
mgsm-ru-10,"В первом месяце программа была скачана 60 раз. Во втором месяце количество скачиваний увеличилось в три раза, то есть стало \(60 \times 3 = 180\) раз. В третьем месяце количество скачиваний уменьшилось на 30%, то есть осталось \(180 \times (1 - 0.3) = 180 \times 0.7 = 126\) раз. 

Теперь суммируем количество скачиваний за три месяца:
\[60 + 180 + 126 = 366\]

Таким образом, общее количество скачиваний за три месяца составляет \(\boxed{366}\).",366,366
