source,full_response,pred_number,answer
mgsm-fr-47,"John spent $200 on blue ties at $40 each. First, let's determine how many blue ties he bought:
\[
\text{Number of blue ties} = \frac{200}{40} = 5
\]
Since John buys twice as many red ties as blue ties, the number of red ties he buys is:
\[
\text{Number of red ties} = 2 \times 5 = 10
\]
Next, we need to determine the cost of each red tie. The red ties cost 50% more than the blue ties. Since the blue ties cost $40 each, the cost of each red tie is:
\[
\text{Cost of each red tie} = 40 + 0.5 \times 40 = 40 + 20 = 60
\]
Now, we calculate the total cost of the red ties:
\[
\text{Total cost of red ties} = 10 \times 60 = 600
\]
The total amount spent on ties is the sum of the cost of the blue ties and the cost of the red ties:
\[
\text{Total amount spent} = 200 + 600 = 800
\]
Thus, the total amount John spent on ties is:
\[
\boxed{800}
\]",800,800
mgsm-fr-48,"To determine how many 6-inch pieces Tracy obtained from a 4-foot long wire, we first need to convert the length of the wire from feet to inches. Since there are 12 inches in a foot, we calculate the total length in inches as follows:

\[ 4 \text{ feet} \times 12 \text{ inches/foot} = 48 \text{ inches} \]

Next, we need to find out how many 6-inch pieces can be obtained from 48 inches. We do this by dividing the total length of the wire by the length of each piece:

\[ 48 \text{ inches} \div 6 \text{ inches/piece} = 8 \text{ pieces} \]

Therefore, Tracy obtained \(\boxed{8}\) pieces.",8,8
mgsm-fr-49,"Pour résoudre ce problème, nous devons suivre ces étapes :

1. Calculer le nombre total de unités dans l'immeuble.
2. Calculer le nombre de unités occupées.
3. Calculer le nombre de unités non occupées.

**Étape 1 : Calculer le nombre total de unités dans l'immeuble.**

- Chaque étage a 8 unités.
- Il y a 15 étages.

\[
\text{Total de unités} = 15 \text{ étages} \times 8 \text{ unités par étage} = 120 \text{ unités}
\]

**Étape 2 : Calculer le nombre de unités occupées.**

- 3/4 de l'immeuble est occupé.

\[
\text{Unités occupées} = \frac{3}{4} \times 120 = 90 \text{ unités}
\]

**Étape 3 : Calculer le nombre de unités non occupées.**

\[
\text{Unités non occupées} = \text{Total de unités} - \text{Unités occupées} = 120 - 90 = 30 \text{ unités}
\]

Donc, le nombre total de unités non occupées dans l'immeuble est 30.

$\boxed{30}$",30,30
mgsm-fr-50,"Pour résoudre ce problème, nous devons suivre plusieurs étapes :

1. **Calculer le nombre d'œufs produits par semaine :**
   - Lloyd produit 252 œufs par jour.
   - Il y a 7 jours dans une semaine.
   - Donc, le nombre d'œufs produits par semaine est \( 252 \times 7 = 1764 \) œufs.

2. **Convertir le nombre d'œufs en douzaines :**
   - Il y a 12 œufs dans une douzaine.
   - Donc, le nombre de douzaines est \( \frac{1764}{12} = 147 \) douzaines.

3. **Calculer le revenu par semaine :**
   - Lloyd vend les œufs à 2 dollars la douzaine.
   - Donc, le revenu par semaine est \( 147 \times 2 = 294 \) dollars.

Donc, Lloyd gagne \( \boxed{294} \) dollars par semaine sur les œufs.",294,294
mgsm-fr-51,"Pour résoudre ce problème, nous devons d'abord déterminer la distance que Tom parcourt lors de son voyage initial.

1. Tom voyage de 1 PM à 4 PM, donc il voyage pendant 3 heures.
2. À une vitesse de 10 miles par heure, la distance qu'il parcourt est de \(10 \, \text{mph} \times 3 \, \text{heures} = 30 \, \text{miles}\).

Maintenant, nous savons que la distance de retour est la même, soit 30 miles.

3. Tom voyage ensuite à une vitesse de 6 miles par heure pour revenir.
4. Le temps qu'il lui faut pour revenir est la distance divisée par la vitesse, donc \( \frac{30 \, \text{miles}}{6 \, \text{mph}} = 5 \, \text{heures}\).

Donc, il lui faut 5 heures pour revenir.

$\boxed{5}$",5,5
mgsm-fr-52,"Pour résoudre ce problème, nous devons d'abord calculer le poids total des 30 comic books que Uriah prévoit de retirer. Chaque comic book pèse 1/4 de livre, donc 30 comic books pèsent \(30 \times \frac{1}{4} = \frac{30}{4} = 7.5\) livres.

Uriah doit retirer 15 livres en tout. Si 7.5 livres proviennent des comic books, il lui reste \(15 - 7.5 = 7.5\) livres à retirer en jouets.

Chaque jouet pèse 1/2 livre. Pour calculer combien de jouets il doit retirer, on divise le poids restant par le poids de chaque jouet : \(7.5 \div \frac{1}{2} = 7.5 \times 2 = 15\).

Donc, Uriah doit retirer 15 jouets.

$\boxed{15}$",15,15
mgsm-fr-53,"Pour calculer le revenu du mécanicien sur chaque jour, nous devons d'abord calculer le revenu pour chaque type de pneu et ensuite sommer ces montants.

**Jeudi :**
- Pour les pneus de camion : \(6 \times 60 = 360\) dollars
- Pour les pneus de voiture : \(4 \times 40 = 160\) dollars
- Le total pour le Jeudi est donc : \(360 + 160 = 520\) dollars

**Vendredi :**
- Pour les pneus de voiture : \(12 \times 40 = 480\) dollars
- Le total pour le Vendredi est donc : \(480\) dollars

**Différence de revenu :**
- Le revenu le plus élevé est de 520 dollars (Jeudi).
- Le revenu le moins élevé est de 480 dollars (Vendredi).
- La différence est donc : \(520 - 480 = 40\) dollars.

Donc, le mécanicien a gagné $\boxed{40}$ dollars de plus le Jeudi.",40,40
mgsm-fr-54,"To determine the total number of kittens the Doubtfire family now has, we need to follow these steps:

1. Identify the number of adopted kittens.
2. Calculate the number of kittens born to the house cats.
3. Sum the adopted kittens and the house cat kittens.

First, we know the Doubtfire sisters adopted 7 kittens from the local animal shelter.

Next, we need to find out how many kittens the house cats have had. According to the problem, Patchy has had thrice the number of adopted kittens, and Trixie has had 12 kittens.

The number of kittens Patchy has had is:
\[ 3 \times 7 = 21 \]

The number of kittens Trixie has had is:
\[ 12 \]

Now, we add the number of adopted kittens, the kittens from Patchy, and the kittens from Trixie to find the total number of kittens:
\[ 7 + 21 + 12 = 40 \]

Therefore, the total number of kittens the Doubtfire family now has is:
\[ \boxed{40} \]",40,40
mgsm-fr-55,"Jean starts with 30 lollipops and eats 2, leaving him with \(30 - 2 = 28\) lollipops. Jean wants to package 2 lollipops in one bag. To find out how many bags he can fill, we divide the remaining lollipops by 2:

\[
28 \div 2 = 14
\]

So, Jean can fill \(\boxed{14}\) bags.",14,14
mgsm-fr-56,"Pour déterminer combien de fois Peter peut aller au cinéma, nous devons d'abord calculer le coût total d'une visite au cinéma, puis diviser le montant qu'il a par ce coût.

Le coût d'une visite au cinéma pour Peter est de $7 (ticket) + $7 (popcorn) = $14.

Peter a 42 dollars pour la semaine. Nous devons maintenant voir combien de fois il peut acheter un ticket et du popcorn avec ce montant.

$42 \div 14 = 3$.

Donc, Peter peut aller au cinéma 3 fois cette semaine.

$\boxed{3}$",3,3
