source,full_response,pred_number,answer
mgsm-es-47,"Primero, determinamos cuántas corbatas azules compró John. Si cada corbata azul cuesta $40 y gastó $200 en corbatas azules, entonces John compró:

$$\frac{200}{40} = 5$$

corbatas azules.

Según la pregunta, John compra el doble de corbatas rojas que de corbatas azules. Por lo tanto, compró:

$$5 \times 2 = 10$$

corbatas rojas.

Sabemos que cada corbata roja cuesta un 50% más que cada corbata azul. Si cada corbata azul cuesta $40, entonces cada corbata roja cuesta:

$$40 + (0.5 \times 40) = 40 + 20 = 60$$

dólares.

Por lo tanto, el costo total de las corbatas rojas es:

$$10 \times 60 = 600$$

dólares.

Finalmente, el costo total de las corbatas es el costo de las corbatas azules sumado al costo de las corbatas rojas:

$$200 + 600 = 800$$

dólares.

Por lo que John gastó $\\boxed{800} en corbatas.",800,800
mgsm-es-48,"Primero, necesitamos convertir el largo del alambre de pies a pulgadas, ya que los trozos son dados en pulgadas. Sabemos que 1 pie equivale a 12 pulgadas.

Entonces, un alambre de 4 pies equivale a $4 \times 12 = 48$ pulgadas.

El alambre se corta en trozos de 6 pulgadas de largo. Para determinar cuántos trozos de 6 pulgadas se pueden obtener de 48 pulgadas, dividimos 48 por 6:

$$\frac{48}{6} = 8$$

Por lo tanto, Tracy obtuvo $\\boxed{8}$ trozos.",8,8
mgsm-es-49,"Primero, calculamos el número total de unidades en el edificio:

- El edificio tiene 15 plantas.
- En cada planta hay 8 unidades.

Por lo tanto, el número total de unidades es:
\[ 15 \text{ plantas} \times 8 \text{ unidades/planta} = 120 \text{ unidades} \]

Luego, sabemos que 3/4 del edificio está ocupado. Por lo tanto, la cantidad de unidades ocupadas es:
\[ 120 \text{ unidades} \times \frac{3}{4} = 90 \text{ unidades} \]

Finalmente, para encontrar el número de unidades desocupadas, restamos las unidades ocupadas de las unidades totales:
\[ 120 \text{ unidades} - 90 \text{ unidades} = 30 \text{ unidades} \]

Por lo tanto, la cantidad total de unidades desocupadas en el edificio es $\boxed{30}$.",30,30
mgsm-es-50,"Primero, calculamos cuántos huevos pone Lloyd en una semana:

- Las gallinas ponen 252 huevos por día.
- En una semana (7 días) pondrán $252 \times 7 = 1764$ huevos.

Luego, convertimos los huevos en docenas para poder calcular el ingreso:

- Hay 12 huevos en una docena.
- Por lo tanto, 1764 huevos son $1764 \div 12 = 147$ docenas.

Finalmente, calculamos el ingreso total:

- Cada docena cuesta $2.
- Por lo tanto, 147 docenas cuestan $2 \times 147 = 294$.

Por lo tanto, Lloyd gana $\\boxed{294}$ por semana con la venta de huevos.",294,294
mgsm-es-51,"Para resolver este problema, primero necesitamos calcular el tiempo que Tom emplea en su viaje de ida.

Tom navega desde las 1 p. m. hasta las 4 p. m., lo que significa que navega durante 3 horas.

La velocidad de la embarcación de Tom es de 10 millas por hora, por lo que en 3 horas puede recorrer:

\[ \text{Distancia} = \text{Velocidad} \times \text{Tiempo} = 10 \text{ mph} \times 3 \text{ horas} = 30 \text{ millas} \]

Luego, Tom regresa a su punto de partida, por lo que la distancia de vuelta es igual a la distancia recorrida en el viaje de ida, que es 30 millas.

El tiempo que Tom necesita para regresar a una velocidad de 6 millas por hora se puede calcular así:

\[ \text{Tiempo} = \frac{\text{Distancia}}{\text{Velocidad}} = \frac{30 \text{ millas}}{6 \text{ mph}} = 5 \text{ horas} \]

Por lo tanto, el tiempo que le lleva regresar está encerrado en $\\boxed{5}$.",5,5
mgsm-es-52,"Primero, calculamos el peso de las revistas de historietas que Uriah sacará. Si cada revista pesa 1/4 libra y sacará 30 revistas, el peso total de las revistas será:

\[ 30 \times \frac{1}{4} = \frac{30}{4} = 7.5 \text{ libras} \]

Uriah necesita sacar 15 libras de peso total de su bolsa de libros. Si ya ha sacado 7.5 libras en revistas, el peso que aún necesita sacar es:

\[ 15 - 7.5 = 7.5 \text{ libras} \]

Cada juguete pesa 1/2 libra, por lo que el número de juguetes que debe sacar para que su peso total sea de 7.5 libras es:

\[ 7.5 \div \frac{1}{2} = 7.5 \times 2 = 15 \text{ juguetes} \]

Por lo tanto, Uriah deberá sacar $\\boxed{15}$ juguetes.",15,15
mgsm-es-53,"Primero, calculamos los ingresos del jueves. El mecánico reparó 6 neumáticos de camión y 4 neumáticos de automóvil:

Ingresos del jueves = (6 neumáticos de camión * $60) + (4 neumáticos de automóvil * $40)
Ingresos del jueves = (6 * 60) + (4 * 40)
Ingresos del jueves = 360 + 160
Ingresos del jueves = $520

Luego, calculamos los ingresos del viernes. El mecánico reparó 12 neumáticos de automóvil:

Ingresos del viernes = (12 neumáticos de automóvil * $40)
Ingresos del viernes = 12 * 40
Ingresos del viernes = $480

Ahora, comparamos los ingresos:

Ingresos del jueves - Ingresos del viernes = $520 - $480 = $40

El mecánico obtuvo $40 más el día con mayores ingresos (jueves).

Respuesta: $40
$\\boxed{40}$",40,40
mgsm-es-54,"Primero, calculamos la cantidad de gatitos adoptados por las hermanas Doubtfire. Dado que adoptaron 7 gatitos, podemos considerar este número como el número de gatitos que Patchy no ha tenido.

Segundo, sabemos que Trixie ha tenido 12 gatitos. Ahora, para Patchy, sabemos que ha tenido tres veces la cantidad de gatitos adoptados. Entonces, Patchy ha tenido \(3 \times 7 = 21\) gatitos.

Finalmente, sumamos todos los gatitos que la familia tiene ahora:
- Gatitos adoptados: 7
- Gatitos de Patchy: 21
- Gatitos de Trixie: 12

La suma total es \(7 + 21 + 12 = 40\).

Por lo tanto, la familia Doubtfire tiene ahora $\\boxed{40}$ gatitos.",40,40
mgsm-es-55,"Jean tiene 30 paletas y come 2, por lo que tiene $30 - 2 = 28$ paletas sobrantes. Si Jean quiere envasar 2 paletas en una bolsa, entonces con las 28 paletas sobrantes, puede llenar $28 \div 2 = 14$ bolsas.

El número final es $\\boxed{14}$.",14,14
mgsm-es-56,"Primero, calculamos el costo total de una entrada al cine y palomitas de maíz:
- Entrada: $7
- Palomitas de maíz: $7
- Costo total por visita: $7 + $7 = $14

Ahora, dividimos el total de dinero que Peter tiene por la cantidad que cuesta una visita al cine:
- Dinero disponible: $42
- Costo por visita: $14

Entonces, $42 ÷ $14 = $3

Por lo tanto, Peter puede ir al cine $\\boxed{3}$ veces esta semana.",3,3
mgsm-es-57,"Primero, calculamos el peso máximo que el camión puede transportar sin exceder el límite del puente:

5000 libras (límite del puente) - 3755 libras (peso del camión vacío y conductor) = 1245 libras

Esto significa que el peso máximo de las cajas es 1245 libras. Si cada caja pesa 15 libras, entonces la cantidad máxima de cajas que se pueden cargar es:

1245 libras ÷ 15 libras/caja = 83 cajas

Por lo tanto, la respuesta es $\boxed{83}$.",83,83
mgsm-es-58,"Primero, calculamos el costo adicional por la tarifa del 25% sobre el total final de la factura:

25% de $40,000 = 0.25 * $40,000 = $10,000

Luego, sumamos este costo adicional al total final de la factura:

$40,000 + $10,000 = $50,000

A continuación, sumamos los gastos de envío y la propina:

$50,000 + $3,000 + $4,000 = $57,000

Por lo tanto, el precio final de la compra de comestibles de Stephen fue de $57,000.

La respuesta final es encerrada de la siguiente manera: $\\boxed{57000}$",57000,57
mgsm-es-59,"Primero, calculamos el total de frambuesas en los racimos:
- Hay 6 racimos.
- Cada racimo tiene 20 frambuesas.

Entonces, el total de frambuesas en los racimos es: $6 \times 20 = 120$.

Además, hay 67 frambuesas individuales.

Por lo tanto, el total de frambuesas en el arbusto es: $120 + 67 = 187$.

El número final es $\boxed{187}$.",187,187
mgsm-es-60,"Primero, calculamos el número de naranjas que no están en buen estado. 

- Hay 1 naranja en mal estado.
- Hay 20% de naranjas que no han madurado.
- Hay 2 naranjas agrias.

El 20% de las 25 naranjas es $0.20 \times 25 = 5$ naranjas.

Entonces, el total de naranjas que no están en buen estado es $1 + 5 + 2 = 8$.

Por lo tanto, el número de naranjas en buen estado es $25 - 8 = 17$.

La respuesta es $\\boxed{17}$.",17,17
mgsm-es-61,"Primero, sumamos los costos del material y el joyero:
$500 + $800 = $1300

Luego, calculamos el 10% del costo total:
$1300 \times 10\% = $1300 \times 0.1 = $130

Finalmente, sumamos el costo total al seguro:
$1300 + $130 = $1430

Por lo tanto, Janet pagó $\\boxed{1430}",1430,1430
mgsm-es-62,"Primero, calculamos el monto adicional que Marcy obtendría por trabajar 10 años más de los 20 que tiene derecho al 5% de la pensión.

El 5% de la pensión anual de $50 000 es:
\[ 50000 \times 0.05 = 2500 \]

Por cada año que trabaja después de los 20 años, recibe un incremento adicional de $2500. Por lo tanto, si trabaja 10 años más, el incremento sería:
\[ 2500 \times 10 = 25000 \]

La pensión anual que tendría si trabajara 30 años sería:
\[ 50000 + 25000 = 75000 \]

Por lo tanto, la pensión anual que Marcy recibiría si renuncia después de 30 años sería $75 000.

La respuesta final es encerrada así: $\\boxed{75000}$",75000,25000
mgsm-es-63,"Para resolver este problema, primero debemos entender que el año tiene 12 meses. La primera mitad del año (6 meses) cuesta $140 por mes. La segunda mitad del año (6 meses) cuesta un 10% menos que $140.

1. Calcular el costo de la primera mitad del año:
   \[
   140 \times 6 = 840
   \]

2. Calcular el costo de la segunda mitad del año:
   \[
   140 \times (1 - 0.10) = 140 \times 0.90 = 126
   \]
   Luego, el costo por mes en la segunda mitad es $126.

3. Calcular el costo total de la segunda mitad del año:
   \[
   126 \times 6 = 756
   \]

4. Calcular el costo total del año:
   \[
   840 + 756 = 1596
   \]

Por lo tanto, el monto total que Aleena habrá pagado al final del año por el servicio de streaming es $1596.

La respuesta final es $\\boxed{1596}$.",1596,1596
mgsm-es-64,"Para resolver este problema, primero debemos determinar la cantidad de gasolina que su automóvil puede almacenar en un solo tanque. Según el manual del propietario, un tanque puede almacenar 12 galones de gasolina.

Sophia necesitó 4 galones para llenar de nuevo el tanque, lo que significa que el tanque estaba a la mitad de su capacidad antes de que ella comenzara su viaje. Por lo tanto, el tanque completo contiene 12 galones.

Sabemos que con 12 galones de gasolina, Sophia puede recorrer 100 millas. Para calcular cuántas millas puede recorrer con un solo tanque de gasolina, dividimos la distancia recorrida por la cantidad de gasolina utilizada en este viaje y luego multiplicamos por la cantidad total de gasolina en el tanque.

Primero, calculamos la distancia que se puede recorrer por galón:
\[ \text{Distancia por galón} = \frac{100 \text{ millas}}{4 \text{ galones}} = 25 \text{ millas por galón} \]

Luego, multiplicamos esta distancia por la cantidad total de gasolina en el tanque:
\[ \text{Distancia total} = 25 \text{ millas por galón} \times 12 \text{ galones} = 300 \text{ millas} \]

Por lo tanto, Sophia puede hacer $\boxed{300}$ millas con un solo tanque de gasolina.",300,300
mgsm-es-65,"Primero, calculemos cuánto tiempo Jim pasa leyendo cada vez que va a la cama:

- Tiempo que pasa mirando televisión: 2 horas
- Tiempo que pasa leyendo: 2 horas / 2 = 1 hora

Entonces, cada vez que va a la cama, Jim pasa 1 hora leyendo.

Jim decide hacer esto 3 veces a la semana, por lo que en una semana pasa:

- 3 veces * 1 hora = 3 horas leyendo

Ahora, para 4 semanas, el tiempo total que pasa leyendo será:

- 4 semanas * 3 horas = 12 horas leyendo

Jim pasa 2 horas mirando televisión cada vez que va a la cama, por lo que en 4 semanas, el tiempo total que pasa mirando televisión será:

- 4 semanas * 2 horas = 8 horas mirando televisión

Por lo tanto, al cabo de 4 semanas, Jim pasa un total de 8 horas mirando televisión y 12 horas leyendo.

La respuesta final es: $\\boxed{20}$",20,36
mgsm-es-66,"Para resolver este problema, primero debemos identificar cuántas personas envía cada escuela y luego multiplicarlo por el número de escuelas.

Cada escuela envía:
- Un equipo femenino de baloncesto (5 jugadores) + 
- Un equipo masculino de baloncesto (5 jugadores) + 
- Un entrenador para cada equipo.

Por lo tanto, cada escuela envía un total de $5 + 5 + 1 + 1 = 12$ personas.

Como hay cuatro escuelas participando, el total de personas enviadas por todas las escuelas es $12 \times 4 = 48$.

Por lo tanto, el número final es $\boxed{48}$.",48,48
mgsm-es-67,"Primero, resolvemos la cantidad de rubíes encontrados. Si hay 35 rubíes menos que diamantes, entonces la cantidad de rubíes es:

\[ 175 - 35 = 140 \]

Luego, sabemos que hay dos veces la cantidad de esmeraldas que de rubíes. Por lo tanto, la cantidad de esmeraldas es:

\[ 2 \times 140 = 280 \]

Finalmente, para obtener la cantidad total de gemas, sumamos los diamantes, rubíes y esmeraldas:

\[ 175 + 140 + 280 = 595 \]

Por lo tanto, el número total de gemas en el cofre es $\\boxed{595}$.",595,595
mgsm-es-68,"Primero, determinamos el número de niños en la escuela. Según la información, hay el doble de niños que de niñas, y hay 60 niñas. Por lo tanto, el número de niños es $2 \times 60 = 120$.

La suma total de estudiantes es la suma de niños y niñas, que es $120 + 60 = 180$.

Si hay 5 estudiantes por maestro, entonces el número de maestros es $\frac{180}{5} = 36$.

Por lo tanto, el número final es $\boxed{36}$.",36,36
