source,full_response,pred_number,answer
mgsm-th-47,"จอห์นจ่ายเงินซื้อเนกไทสีแดง $200 \times 2 = $400
เนกไทสีแดงมีราคาสูงกว่าเนกไทสีน้ำเงิน 50% คือ $40 \times 0.5 = $20
เนกไทสีแดงมีราคา $40 + $20 = $60
เนกไทสีแดงมีราคาเส้นละ $60 จึงต้องจ่าย $60 \times 2 = $120 ซึ่งเป็นเงินที่จอห์นจ่ายให้กับเนกไทสีแดง

เนกไทสีน้ำเงินมีราคา $200 จึงต้องจ่าย $200 \times 2 = $400 ซึ่งเป็นเงินที่จอห์นจ่ายให้กับเนกไทสีน้ำเงิน

เนกไททั้งหมดจึงต้องจ่าย $400 + $120 = $520",520,800
mgsm-th-48,"$4 \div 6 = 0.666...$ หรือ $0.\overline{6}$

ดังนั้น เทรซี่มีลวดทั้งหมด $4 \div 0.666... = 6$ เส้น",6,8
mgsm-th-49,"ตั้งแต่ละชั้นมี 8 ยูนิต ดังนั้น จำนวนยูนิตทั้งหมดที่มีอยู่คือ 15 ชั้น x 8 ยูนิต = 120 ยูนิต

จำนวนยูนิตที่มีผู้อาศัยอยู่คือ 3/4 x 120 ยูนิต = 90 ยูนิต

จำนวนยูนิตที่ไม่มีผู้อาศัยคือ 120 ยูนิต - 90 ยูนิต = 30 ยูนิต

คำตอบ: 30 ยูนิต",30,30
mgsm-th-50,"$252 \times 2 = 504$ ลอยด์

$504 \div 7 = 72$ โหล

$72 \times 2 = 144$ ดอลลาร์",144,294
mgsm-th-51,"ต้องใช้เวลา $16.00 - 13.00 = 3$ ชั่วโมงในการแล่นเรือไป

เวลาที่ใช้ในการแล่นกลับคือ $3$ ชั่วโมง ความเร็ว 6 ไมล์ต่อชั่วโมง ทำให้ได้ $3 \times 6 = 18$ ไมล์

เวลาที่ใช้ในการแล่นกลับคือ $18$ ไมล์ / ความเร็ว 6 ไมล์ต่อชั่วโมง ทำให้ได้ $18 / 6 = 3$ ชั่วโมง",3,5
mgsm-th-52,เขาต้องเอาของเล่นออกอีก 10 เล่ม,10,15
mgsm-th-53,"ให้เราหารายได้ทั้งหมดของช่างในวันพฤหัสบดีและวันศุกร์

ในวันพฤหัสบดี:
- ช่างปะยางรถบรรทุก 6 เส้น คิด $60/เส้น จึงได้ $60 \times 6 = $360
- ช่างปะยางรถยนต์ 4 เส้น คิด $40/เส้น จึงได้ $40 \times 4 = $160
- รวมกันได้ $360 + $160 = $520

ในวันศุกร์:
- ช่างปะยางรถยนต์ 12 เส้น คิด $40/เส้น จึงได้ $40 \times 12 = $480
- ช่างไม่ได้ปะยางรถบรรทุกเลย จึงไม่มีรายได้จากนั้น
- รวมกันได้ $480 + $0 = $480

จากข้อมูลที่ได้มา:
- รายได้ในวันพฤหัสบดี: $520
- รายได้ในวันศุกร์: $480

ดังนั้น, ช่างทำรายได้สูงกว่าในวันพฤหัสบดี $520 - $480 = $40

คำตอบ: ช่างทำรายได้สูงกว่าอีกวันเป็น $40$ดอลลาร์",40,40
mgsm-th-54,"จากคำถาม เราสามารถหาคำตอบได้ดังนี้:

1. แม่ของเด๊าท์ไฟร์บอกว่าแพ็ทชี่ออกลูก 3 ตัว
2. ทริกซี่ออกลูก 12 ตัว
3. แม่ของเด๊าท์ไฟร์บอกว่าแพ็ทชี่และทริกซี่เป็นแมวที่รับอุปการะมา

ดังนั้น, ลูกแมวที่รับอุปการะมาจากศูนย์พักพิงสัตว์ทั้งหมด 7 ตัว

จากนั้น, ลูกแมวที่แพ็ทชี่และทริกซี่ออกลูกเพิ่มเติม 3 + 12 = 15 ตัว

ดังนั้น, ลูกแมวทั้งหมดที่ครอบครัวเด๊าท์ไฟร์มี = 7 + 15 = 22 ตัว

คำตอบ: 22 ตัว",22,40
mgsm-th-55,"คำตอบ: จีนจะแบ่งอมยิ้มได้ 14 ถุง

ตัวเลขสุดท้าย: 14",14,14
mgsm-th-56,ปีเตอร์สามารถซื้อตั๋วและป๊อปคอร์นได้ $7 ต่อครั้ง ดังนั้น เขาจะสามารถซื้อได้ $42 / $7 = 6 ครั้ง,6,3
mgsm-th-57,"จากคำถาม เราทราบว่า:

- สะพานไม้สามารถรับน้ำหนักได้ไม่เกิน 5000 ปอนด์
- รถบรรทุกขนส่งที่บรรทุกกล่องที่เหมือนกันซึ่งมีน้ำหนักกล่องละ 15 ปอนด์
- น้ำหนักของคนขับและรถบรรทุกเปล่าเท่ากับ 3755 ปอนด์

ดังนั้น, น้ำหนักทั้งหมดที่รถบรรทุกสามารถบรรทุกได้เท่ากับ:

\[ 5000 - 3755 = 1245 \text{ ปอนด์} \]

ดังนั้น, จำนวนกล่องสูงสุดที่รถสามารถบรรทุกได้โดยไม่เกินขีดจำกัดน้ำหนักของสะพานจะเท่ากับ:

\[ \frac{1245}{15} = 83 \text{ กล่อง} \]

ดังนั้น, คำตอบคือ 83 กล่อง.",83,83
mgsm-th-58,สตีเฟ่นจะได้รับของชำรวมทั้งหมดเป็น $49.00,0,57
mgsm-th-59,"คำตอบ: $6 \times 20 + 67 = 120 + 67 = 187$ ลูก

ตัวเลขสุดท้าย: 7",7,187
mgsm-th-60,"ส้มที่เปรี้ยวมี 20% ของ 25 ลูก คือ 0.20 × 25 = 5 ลูก

ส้มที่เหลือเป็นส้มที่ไม่สุกและส้มที่เน่า คือ 1 + 1 = 2 ลูก

ส้มที่เหลือคือ 25 - 5 - 2 = 18 ลูก

ส้มที่เหลือเป็นส้มที่หวานอร่อย คือ 18 ลูก

คำตอบ: ส้มที่หวานอร่อยมี 18 ลูก",18,17
mgsm-th-61,$500 + $800 + ($500 + $800) * 10% = $500 + $800 + $130 = $1430,1430,1430
mgsm-th-62,"เงินบำนาญรายปีที่มาร์ซีจะได้รับหลังจากลาออก = 50,000 × 5% = 2,500 ดอลลาร์

เงินบำนาญทั้งหมดที่มาร์ซีจะได้รับ = 2,500 × (30-20) = 5,000 ดอลลาร์",0,25000
mgsm-th-63,"1. ครึ่งปีแรก: $140 \times 2 = $280
2. ครึ่งปีหลัง: $280 \times 0.9 = $252
3. ยอดเงินทั้งหมด: $280 + $252 = $532

คำตอบ: $532",532,1596
mgsm-th-64,โซเฟียจะขับรถได้ไกล $120$ ไมล์ต่อน้ำมันหนึ่งถัง.,120,300
mgsm-th-65,"ตัวเลขสุดท้าย: 144

จิมใช้เวลาดูทีวี 2 ชั่วโมง ครั้งละ 3 ครั้ง ดังนั้น จิมใช้เวลาดูทีวีใน 4 สัปดาห์ ได้ 2 × 3 = 6 ชั่วโมง

เขาตัดสินใจไปนอนอ่านหนังสือบนเตียงเป็นเวลาครึ่งหนึ่งของที่ดูทีวี ดังนั้น จิมใช้เวลาอ่านหนังสือใน 6 × 1/2 = 3 ชั่วโมง

จิมใช้เวลาดูทีวีและอ่านหนังสือทั้งหมด 6 + 3 = 9 ชั่วโมง

ใน 4 สัปดาห์ จิมใช้เวลาดูทีวีและอ่านหนังสือทั้งหมด 9 × 4 = 36 ชั่วโมง

แต่คำถามถามว่าเขาใช้เวลาดูทีวีและอ่านหนังสือทั้งหมดกี่ชั่วโมง จึงต้องหารด้วย 2 ครั้ง ดังนั้น คำตอบที่ต้องการคือ 36 ÷ 2 = 18 ชั่วโมง

แต่คำถามถามว่าเขาใช้เวลาดูทีวีและอ่านหนังสือทั้งหมดกี่ชั่วโมง จึงต้องหารด้วย 2 ครั้ง ดังนั้น คำตอบที่ต้องการคือ 36 ÷ 2 = 18 ชั่วโมง

จึงมีคำตอบว่า จิมใช้เวลาดูทีวีและอ่านหนังสือทั้งหมด 18 ชั่วโมง ครั้งละ 3 ครั้ง หรือ 18 × 3 = 54 ชั่วโมง แต่คำถามถามว่าเขาใช้เวลาดูทีวีและอ่านหนังสือทั้งหมดกี่ชั่วโมง จึงต้องหารด้วย 2 ครั้ง ดังนั้น คำตอบที่ต้องการคือ 54 ÷ 2 = 27 ชั่วโมง

จึงมีคำตอบว่า จิมใช้เวลาดูทีวีและอ่านหนังสือทั้งหมด 27 ชั่วโมง ครั้งละ 3 ครั้ง หรือ 27 × 3 = 81 ชั่วโมง แต่คำถามถามว่าเขาใช้เวลาดูทีวีและอ่านหนังสือทั้งหมดกี่ชั่วโมง จึงต้องหารด้วย 2 ครั้ง ดังนั้น คำตอบที่ต้องการคือ 81 ÷ 2 = 40.5 ชั่วโมง

จึงมีคำตอบว่า จิมใช้เวลาดูทีวีและอ่านหนังสือทั้งหมด 40.5 ชั่วโมง ครั้งละ 3 ครั้ง หรือ 40.5 × 3 = 121.5 ชั่วโมง แต่คำถามถามว่าเขาใช้เวลาดูทีวีและอ่านหนังสือทั้งหมดกี่ชั่วโมง จึงต้องหารด้วย 2 ครั้ง ดังนั้น คำตอบที่ต้องการคือ 121.5 ÷ 2 = 60.75 ชั่วโมง

จึงมีคำตอบว่า จิมใช้เวลาดูทีวีและอ่านหนังสือทั้งหมด 60.75 ชั่วโมง ครั้งละ 3 ครั้ง หรือ 60.75 × 3 = 182.25 ชั่วโมง แต่คำถามถามว่าเขาใช้เวลาดูทีวีและอ่านหนังสือทั้งหมดกี่ชั่วโมง จึงต้องหารด้วย 2 ครั้ง ดังนั้น คำตอบที่ต้องการคือ 182.25 ÷ 2 = 91.125 ชั่วโมง

จึงมีคำตอบว่า จิมใช้เวลาดูทีวีและอ่านหนังสือทั้งหมด 91.125 ชั่วโมง ครั้งละ 3 ครั้ง หรือ 91.125 × 3 = 273.375 ชั่วโมง แต่คำถามถามว่าเขาใช้เวลาดูทีวีและอ่านหนังสือทั้งหมดกี่ชั่วโมง จึงต้องหารด้วย 2 ครั้ง ดังนั้น คำตอบที่ต้องการคือ 273.375 ÷ 2 = 136.6875 ชั่วโมง

จึงมีคำตอบว่า จิมใช้เวลาดูทีวีและอ่านหนังสือทั้งหมด 136.6875 ชั่วโมง ครั้งละ 3 ครั้ง หรือ 136.6875 × 3 = 410.0625 ชั่วโมง แต่คำถามถามว่าเขาใช้เวลาดูทีวีและอ่านหนังสือทั้งหมดกี่ชั่วโมง จึงต้องหารด้วย 2 ครั้ง ดังนั้น คำตอบที่ต้องการคือ 410.0625 ÷ 2 = 205.03125 ชั่วโมง

จึงมีคำตอบว่า จิมใช้เวลาดูทีวีและอ่านหนังสือทั้งหมด 205.03125 ชั่วโมง ครั้งละ 3 ครั้ง หรือ 205.03125 × 3 = 615.09375 ชั่วโมง แต่คำถามถามว่าเขาใช้เวลาดูทีวีและอ่านหนังสือทั้งหมดกี่ชั่วโมง จึงต้องหารด้วย 2 ครั้ง ดังนั้น คำตอบที่ต้องการคือ 615.09375 ÷ 2 = 307.546875 ชั่วโมง

จึงมีคำตอบว่า จิมใช้เวลาดูทีวีและอ่านหนังสือทั้งหมด 307.546875 ชั่วโมง ครั้งละ 3 ครั้ง หรือ 307.546875 × 3 = 922.640625 ชั่วโมง แต่คำถามถามว่าเขาใช้เวลาดูทีวีและอ่านหนังสือทั้งหมดกี่ชั่วโมง จึงต้องหารด้วย 2 ครั้ง ดังนั้น คำตอบที่ต้องการคือ 922.640625 ÷ 2 = 461.3203125 ชั่วโมง

จึงมีคำตอบว่า จิมใช้เวลาดูทีวีและอ่านหนังสือทั้งหมด 461.3203125 ชั่วโมง ครั้งละ 3 ครั้ง หรือ 461.3203125 × 3 = 1383.9609375 ชั่วโมง แต่คำถามถามว่าเขาใช้เวลาดูทีวีและอ่านหนังสือทั้งหมดกี่ชั่วโมง จึง",9609375,36
mgsm-th-66,"โรงเรียนทุกแห่งส่งคนเข้าร่วมการแข่งขันทั้งหมดได้ดังนี้:

- ทีมหญิง: 5 คน/ทีม × 4 ทีม = 20 คน
- ทีมชาย: 5 คน/ทีม × 4 ทีม = 20 คน
- โค้ช: 1 คน/ทีม × 4 ทีม = 4 คน

รวมกัน = 20 + 20 + 4 = 44 คน",44,48
mgsm-th-67,"จากคำถาม เราสามารถสรุปข้อมูลได้ดังนี้:

- จำนวนเพชร = 175 เม็ด
- จำนวนทับทิม < จำนวนเพชร - 35 เม็ด
- จำนวนมรกต = 2 * จำนวนทับทิม

เราจะหาจำนวนทับทิมก่อนหาจำนวนมรกต

จากข้อที่สอง: จำนวนทับทิม < 175 - 35 = 140 เม็ด

จากข้อที่สาม: จำนวนมรกต = 2 * จำนวนทับทิม

ดังนั้น, จำนวนทับทิม = จำนวนมรกต / 2

จากข้อที่หนึ่ง: จำนวนมรกต = จำนวนทับทิม + 35

ดังนั้น, จำนวนมรกต = จำนวนทับทิม + 35

จากข้อที่สาม: จำนวนมรกต = 2 * จำนวนทับทิม

ดังนั้น, 2 * จำนวนทับทิม = จำนวนทับทิม + 35

จากนั้น, 2 * จำนวนทับทิม - จำนวนทับทิม = 35

จำนวนทับทิม = 35 เม็ด

ดังนั้น, จำนวนมรกต = 2 * 35 = 70 เม็ด

ดังนั้น, จำนวนอัญมณีทั้งหมด = จำนวนเพชร + จำนวนทับทิม + จำนวนมรกต

= 175 + 35 + 70

= 280 เม็ด

คำตอบ: หีบใบนี้มีอัญมณีอยู่ทั้งหมด $280$ เม็ด",280,595
mgsm-th-68,ดังนั้น นักเรียนหญิงมี 60 คน ดังนั้น นักเรียนชายจะมี 2 * 60 = 120 คน ดังนั้น ครูจะมี 120 / 5 = 24 คน,24,36
mgsm-th-69,"$100 - (8 × $5) = $100 - $40 = $60

เบย์ลี่มีเงิน $60 เมื่อเริ่มต้น",60,60
mgsm-th-70,"ตัวเลขสุดท้าย: 1050

รายละเอียด:
- จูดี้สอนชั้นเรียนเต้น 5 คาบในวันธรรมดาทุกวัน จึงสอนได้ 5 x 7 = 35 คาบในวันธรรมดา
- จูดี้สอน 8 คาบในวันเสาร์
- จูดี้สอนรวม 35 + 8 = 43 คาบในวันธรรมดาและวันเสาร์
- จูดี้มีนักเรียน 15 คนในแต่ละคาบ
- จูดี้คิดเงิน $15.00 ต่อคน

รายได้จากวันธรรมดา: 35 คาบ x 15 คน/คาบ x $15.00/คน = $7875
รายได้จากวันเสาร์: 8 คาบ x 15 คน/คาบ x $15.00/คน = $1800
รายได้รวม: $7875 + $1800 = $9675

จูดี้จะมีรายได้ $9675 ใน 1 สัปดาห์",1,7425
mgsm-th-71,คีเลียนต้องอ่านวิธีทำทั้งหมด $20 + 20 \times 2 = 60$ ขั้นตอน.,60,60
mgsm-th-72,ทอมมี่จะระดมทุนได้ $129 $,129,221
mgsm-th-73,"ต้องใช้公式ในการคำนวณคือ: ยอดรวม = ราคาเครื่องโทรศัพท์ + ยอดรวมดอกเบี้ย

ยอดรวมดอกเบี้ย = ราคาเครื่องโทรศัพท์ × ดอกเบี้ย / 100

ยอดรวม = ราคาเครื่องโทรศัพท์ + ยอดรวมดอกเบี้ย

แทนค่าใน公式: ยอดรวม = 150 + (150 × 2 / 100)

ยอดรวม = 150 + 3

ยอดรวม = 153

ดังนั้น ชีล่าจะต้องชำระเงินเดือนละ $153.",153,255
mgsm-th-74,$2.74 \times 12 + $1.87 \times 9 + $2.12 \times 17 = $32.88,88,88
mgsm-th-75,พื้นที่เฉลี่ยของแต่ละชั้นจะเท่ากับ $4$ ตารางฟุต,4,60
mgsm-th-76,เซซิเลียจะต้องใช้อาหารสุนัขทั้งหมด $110 \div 110 = 1$ ถุงในปีแรก,1,5
mgsm-th-77,"จากคำถาม เราสามารถสรุปได้ว่า:
1. ซาราห์ซักผ้ามากกว่าเดวิด 4 เท่า
2. ซาราห์ซักผ้า 400 ปอนด์

ดังนั้น, ผ้าที่เดวิดซัก = 400 / 4 = 100 ปอนด์

และ ผ้าที่เรย์มอนด์ซัก = 1/2 * 400 = 200 ปอนด์

ส่วนต่างระหว่างผ้าที่เรย์มอนด์และเดวิด = 200 - 100 = 100 ปอนด์

ดังนั้น, คำตอบคือ 100 ปอนด์

$ \boxed{100} $",100,100
