source,full_response,pred_number,answer
mgsm-ja-47,"まず、ジョンが青いネクタイを何本買ったかを計算します。青いネクタイが40ドルで、その2倍の赤いネクタイを買います。つまり、赤いネクタイは80ドルで買えます。

次に、赤いネクタイの値段が青いネクタイの値段よりも50%高いことを利用します。青いネクタイの値段が40ドルなので、赤いネクタイの値段は40ドルの150%で、つまり60ドルです。これは与えられた情報と矛盾しているため、赤いネクタイの値段が50%高いという条件は誤りかもしれません。しかし、問題文の数値を使って計算を進めます。

ジョンは40ドルの青いネクタイに200ドルを費やしました。これにより、彼は青いネクタイを200ドル ÷ 40ドル/本 = 5本買いました。

次に、赤いネクタイは青いネクタイの2倍なので、5本 × 2 = 10本の赤いネクタイを買いました。

赤いネクタイは60ドルで、10本を購入したので、赤いネクタイの合計コストは10本 × 60ドル/本 = 600ドルです。

青いネクタイと赤いネクタイの合計コストは、40ドル × 5本 + 600ドル = 200ドル + 600ドル = 800ドルです。

したがって、ジョンはネクタイに800ドルを費やしました。

最終的な答えは：$\\boxed{800}",800,800
mgsm-ja-48,"まず、4フィートの長さのワイヤーをインチに変換します。1フィートは12インチなので、4フィートは 4 × 12 = 48インチです。

次に、48インチのワイヤーを6インチの部分に切り分けていくと、ワイヤーの数は 48 ÷ 6 = 8 になります。

したがって、トレイシーは $\boxed{8}$ のワイヤを手に入れました。",8,8
mgsm-ja-49,"まず、15階建てのマンションで各階8部屋あるので、全体の部屋数は $15 \times 8 = 120$ 建物全体の部屋数です。

次に、建物の3/4が入居されているので、入居している部屋数は $120 \times \frac{3}{4} = 90$ 建物全体の部屋数の3/4です。

未入居の部屋数は全体の部屋数から入居している部屋数を引くことになります。したがって、未入居の部屋数は $120 - 90 = 30$ 建物全体の部屋数の3/4です。

したがって、最終的な答えは $\boxed{30}$ 建物全体の部屋数の3/4となります。",4,30
mgsm-ja-50,"まず、1ダースの卵は2個なので、1日に作られる卵252個は126ダースになります。

次に、1ダースの卵を2で売ることから、1ダースの卵の売価は2ドルです。

したがって、126ダースの卵を2ドルずつ売ることで、ロイドは週に 126 * 2 = 252ドル 生み出すことができます。

最終的な答えは $\\boxed{252}$ドルになります。",252,294
mgsm-ja-51,"まず、トムの船が1時間に10マイル進む速度で午後1時から4時まで航海した場合、航行時間は3時間です。そのため、航行中に進んだ距離は 10マイル/時間 × 3時間 = 30マイルです。

次に、帰路に着くために必要な速度は時速6マイルです。トムが進んだ距離（30マイル）を6マイル/時間で移動すると、戻るまでにかかる時間は 30マイル ÷ 6マイル/時間 = 5時間です。

したがって、トムが戻るまでにかかる時間は 5時間です。

$\\boxed{5}$",5,5
mgsm-ja-52,"まず、30冊の漫画本を取り除くと、その重さは $30 \times \frac{1}{4} = 7.5$ ポンドになります。

ユーライアの本の総重さが15ポンドから7.5ポンドを減らすので、残りの重さは $15 - 7.5 = 7.5$ ポンドです。

おもちゃの重さは1/2ポンドなので、7.5ポンドは $7.5 \div \frac{1}{2} = 15$ つとなります。

したがって、彼はおもちゃを $15$ つ取り除く必要があります。

最終的な答えは：$\boxed{15}$",15,15
mgsm-ja-53,"木曜日の料金計算:
- 6個のトラックのタイヤの修理料金: 6 * $60 = $360
- 4個の車のタイヤの修理料金: 4 * $40 = $160
- 木曜日の合計料金: $360 + $160 = $520

金曜日の料金計算:
- 12個の車のタイヤの修理料金: 12 * $40 = $480
- 金曜日の合計料金: $480

比較:
- 木曜日の合計料金: $520
- 金曜日の合計料金: $480

木曜日の方が金曜日よりも $480 の利益をあげました。
最終的な答えは $480 $\\boxed{480}",480,40
mgsm-ja-54,"パッチーが迎えられた子猫の数の3倍の数の子猫を生んだとすると、パッチーは3匹の子猫を生んだとします。パッチーとトリクシーが生んだ子猫の数の合計は、パッチーの3匹とトリクシーの12匹で、合計15匹です。

また、地元のシェルターから迎えられた7匹の子猫がいます。

したがって、ダウトファイア家には、15匹 + 7匹 = 22匹の子猫がいます。

$\\boxed{22}$",22,40
mgsm-ja-55,"ジェーンが最初に30個の飴を持っていましたが、2つを食べましたので、残った飴の数は 30 - 2 = 28個です。

ジェーンはこれらの28個の飴で、1つの袋に2つの飴を入れてセットを作りたいとします。つまり、28個の飴を2つの飴づつに分ける必要があります。

28個の飴を2つの飴づつに分けるには、28 ÷ 2 = 14セットを作ることができます。

したがって、最終的な答えは $\boxed{14}$ です。",14,14
mgsm-ja-56,"まず、毎回映画に行くと、ピーターは$7のチケットと$7のポップコーンを買うので、合計$14を費やすことになります。

彼が持っている金額は42ドルです。これを14ドルで割ると、ピーターは42ドルを14ドルで何回分割できるかを計算できます。

計算式は：$42 \div $14 = $3

したがって、ピーターはその週、映画に3回行けます。

最終的な答えは：$\boxed{3}$",3,3
mgsm-ja-57,"まず、配達トラックの重さを計算します。トラックに積み込まれている箱の数とそれぞれの重さから始めます。

配達トラックの重さは3755ポンドです。この重さは、トラックと運転手の重さを合わせてのものと考えます。

箱の重さは15ポンドで、33個積まれています。それらの重さを計算します。

\[ 33 \text{箱} \times 15 \text{ポンド/箱} = 495 \text{ポンド} \]

次に、トラックの重さ（3755ポンド）から箱の重さを引いて、トラックに余裕がある重さを計算します。

\[ 3755 \text{ポンド} - 495 \text{ポンド} = 3260 \text{ポンド} \]

次に、この余裕ある重さで、橋の重量制限を超えることなく、どの程度の数の箱が積めますか？

橋の重量制限は5000ポンドを超えないため、箱の重さ495ポンドで計算します。

\[ \frac{3260 \text{ポンド}}{15 \text{ポンド/箱}} = 217.3333... \]

箱の数は整数であるため、最大で217個の箱が積めることがわかります。

最終的な答えは：

\[ \boxed{217} \]",217,83
mgsm-ja-58,"追加の手数料を含むと、請求書の総額は以下のようになります。

1. 食料品の最終的な請求額: $40.00
2. デリバリー会社の手数料: $40.00 × 25% = $10.00
3. デリバリー料金: $3.00
4. チップ: $4.00

これらの合計を計算します。

$40.00 + $10.00 + $3.00 + $4.00 = $57.00

したがって、スティーブンの食料品の注文の最終的な料金は $57.00 です。

$\\boxed{57.00}$",0,57
mgsm-ja-59,"まず、20の実がなった6つの房から計算すると、これらの房は合計120の実があります。また、独立して67の実が実っています。これらを合計すると、ラズベリーの総実数は 120 + 67 = 187 となります。

したがって、最終的な答えは $\boxed{187}$ です。",187,187
mgsm-ja-60,"まず、かごにいるオレンジの総数を求める必要があります。そのために、だめになったオレンジと酸っぱくなったオレンジの数を引くと、まだ青いオレンジといい状態のオレンジの数が求められます。

だめになったオレンジの数は 1 つ、酸っぱくなったオレンジの数は 2つです。よって、まだ青いオレンジといい状態のオレンジの数は 20% + 25 = 45% となります。

かごにいるオレンジの総数は 100% なので、45% のオレンジがいい状態です。その数は、いい状態のオレンジが占める割合（45%）と残りのオレンジの数（25個）を使って求められます。

いい状態のオレンジの数 = 25個 * 45% = 25 * 0.45 = 11.25個

したがって、かごには 11.25 個のいい状態のオレンジが入っています。

最終的な答えは：$\boxed{11.25}$",25,17
mgsm-ja-61,"まず、ジャネットが支払った金額は以下の通りです：
- 材料費: $500
- 宝石商への手数料: $800

これらを合計すると、$500 + $800 = $1300

次に、$1300の10%の保険料を計算します：
- 10%の計算: $1300 × 10/100 = $130

最後に、支払った合計額を計算します：
- 材料費と宝石商への手数料の合計: $1300
- 保険料: $130
- 合計: $1300 + $130 = $1430

したがって、ジャネットは $1430 を支払った。

$\\boxed{1430}$",1430,1430
mgsm-ja-62,"問題を解くために、まず30年後の年金額を計算する必要があります。

1. 40年働くと年金が$50,000になるという情報から、年金の額は40年間で一定であると仮定します。

2. 20年目から年金額が5%増加するという情報から、20年目から計算します。

3. 30年目までに年金額がどのように変化するかを計算します。年金額が年5%増加するので、30年後の年金額は30年前の年金額を(1+5%)の30乗にします。

4. 30年前の年金額は$50,000なので、30年後の年金額は$50,000 * (1.05)^{30} となります。

計算を進める：
$50,000 * (1.05)^{30} = 50,000 * 4.3219 = 216,095$

したがって、マーシーが30年後にやめたら、彼女の年金は年額$216,095になります。

最終的な答えは：
$\\boxed{216,095}$",95,25000
mgsm-ja-63,"まず、最初の半年分の料金を計算します。
最初の半年は6ヶ月分なので、$140 \times 6 = $840

次に、その後の半年分の料金を計算します。その後の半年は10%割引料金で提供されるため、割引後の料金は原価の90%になります。
その後の半年の料金は$140 \times 6 = $840
割引後の料金は$840 \times 0.9 = $756

最後に、最初の半年とその後の半年の合計を計算します。
最初の半年とその後の半年の合計は$840 + $756 = $1596

したがって、彼女がその年の終わりまでにそのストリーミングサービスに支払った料金は $1596 です。

$\\boxed{1596}$",1596,1596
mgsm-ja-64,"ソフィアが100マイル運転した後、タンクを満タンにするために4ガロンのガソリンが必要であるということから、1タンク分のガソリンで走行できる距離を計算することができます。

車のタンクには12ガロンのガソリンが入るとありますので、1ガロン分の距離を計算するために、100マイルを12で割ります。

\[ \text{1ガロン分の距離} = \frac{100\text{マイル}}{12} = \frac{25}{3}\text{マイル} \approx 8.33\text{マイル} \]

1タンク分のガソリンで走行できる距離は、\[ \frac{25}{3} \]マイルです。

\[ \boxed{\frac{25}{3}} \]",3,300
mgsm-ja-65,"まず、1週間にテレビを観て過ごす時間と読書に費やす時間の合計を計算します。

テレビを観て過ごす時間: 2時間
その半分の時間読書: 2/2 = 1時間

1週間にテレビと読書に費やす時間の合計: 2時間 + 1時間 = 3時間

3週間に費やす時間: 3時間/週 × 3週間 = 9時間

4週間に費やす時間: 9時間/3週間 × 4週間 = 12時間

したがって、4週間でテレビを観ることと読書に費やす時間は、$\\boxed{12}$時間です。",12,36
mgsm-ja-66,"各学校で、女子バスケットボールチームと男子バスケットボールチームを含む5人の選手と1人のコーチが参加しているため、各学校で参加する人数は 5 + 1 = 6 人です。

4校が参加していることから、全体で参加する人数は 4校 × 6人 = 24人となります。

最終的な答えは、$\\boxed{24}$ 人です。",24,48
mgsm-ja-67,"まず、ルビーの数を計算します。ルビーはダイヤモンドより35個少ないから、ダイヤモンドの数175から35を引くと、ルビーの数は $175 - 35 = 140$ です。

次に、エメラルドの数を計算します。エメラルドの数はルビーの2倍なので、ルビーの140個を2で割ると、エメラルドの数は $140 / 2 = 70$ です。

最後に、全ての宝石の数を計算します。ダイヤモンド175個、ルビー140個、エメラルド70個なので、合計は $175 + 140 + 70 = 385$ です。

したがって、タンスには全部で $\boxed{385}$ 個の宝石があったことがわかります。",385,595
mgsm-ja-68,"問題文から、女の子の数が60人であることが与えられています。女の子の数の2倍の男の子がいることから、男の子の数は 60人 × 2 = 120人となります。

生徒の総数は女の子と男の子の数の合計で、つまり 60人 + 120人 = 180人となります。

教師1人に生徒が5人なら、180人の生徒に対応する教師の数は 180人 ÷ 5人 = 36人となります。

したがって、答えは $\\boxed{36}$ です。",36,36
mgsm-ja-69,"8週間は32日間です（1週間 = 7日）。

ベイリーが受け取った手当ての総額は 8週間 × $5/週間 = $40 です。

彼女が8週間の終わりには$100持っていたとします。

最初に持っていた金額 + 8週間の手当ての総額 = 8週間の終わりの金額
最初の金額 + $40 = $100

最初の金額 = $100 - $40 = $60

したがって、最終的な答えは $60 になります。

$\\boxed{60}$",60,60
mgsm-ja-70,"まず、平日と土曜日のクラス数を計算します。

平日は5クラス×5日 = 25クラス
土曜日は8クラス

合計クラス数は 25 + 8 = 33クラス

各クラスに15人の生徒がおり、1人につき15ドルを收取しているので、1クラスあたりの収入は 15ドル × 15人 = 225ドル

したがって、1週間の収入は 33クラス × 225ドル/クラス = 7350ドル

最終的な答えは $\\boxed{7350}$",7350,7425
mgsm-ja-71,"1つ目のレシピには20の指示があります。2つ目のレシピは1つ目のレシピの2倍の指示があるため、20の2倍は 40 の指示が必要です。

したがって、ケリーアンが2つの料理を準備するためには、20 + 40 = 60 の指示を読まなければなりません。

最終的な答えは：$\boxed{60}$",60,60
mgsm-ja-72,"まず、ブラウニーとチーズケーキのそれぞれの価格を考慮に入れます。

ブラウニーの価格は1スライス$3なので、43個のブラウニーの価格は $3 \times 43 = $129 です。

チーズケーキの価格は1個$4なので、23個のチーズケーキの価格は $4 \times 23 = $92 です。

トミーが43個のブラウニーと23個のチーズケーキを売った場合の収入は、$129 + $92 = $221 となります。

したがって、最終的な答えは $221 です。

$\\boxed{221}$",221,221
mgsm-ja-73,"シーラが購入した5つの携帯電話の合計価格は $150 \times 5 = 750$ 円です。

各ユニットに2%の利息が加算されるので、1つの携帯電話の利息は $750 \times 2\% = 15$ 円です。

したがって、5つの携帯電話の合計利息は $15 \times 5 = 75$ 円です。

3回払いなので、合計支払う金額は $750 + 75 = 825$ 円です。

3カ月間、毎月支払う金額は $825 \div 3 = 275$ 円となります。

したがって、シーラは3カ月間、毎月 $\\boxed{275}$ 円払うことになります。",275,255
mgsm-ja-74,"まず、各種類の花の価格を最も近いドル単位で設定します。

- マリーゴールド: $2.74 \approx $3
- ペチュニア: $1.87 \approx $2
- ベゴニア: $2.12 \approx $2

次に、各種類の花を12鉢、9鉢、17鉢売ることで合計金額を計算します。

- マリーゴールド: $3 \times 12 = $36
- ペチュニア: $2 \times 9 = $18
- ベゴニア: $2 \times 17 = $34

合計金額はこれらの金額を足し合わせることで得られます。

$36 + $18 + $34 = $88

したがって、アーティーは $88 を売ることができます。

$\\boxed{88}$",88,88
mgsm-ja-75,"4階層の砂の城の各階層の広さが以下のようになります。

1. 最上階: 16平方フィート
2. 2番目の階: 最上階の半分の広さ = 16平方フィート ÷ 2 = 8平方フィート
3. 3番目の階: 2番目の階の半分の広さ = 8平方フィート ÷ 2 = 4平方フィート
4. 4番目の階: 3番目の階の半分の広さ = 4平方フィート ÷ 2 = 2平方フィート

各階層の平均の広さは、これらの値を足して4で割ります。

\[平均の広さ = \frac{16 + 8 + 4 + 2}{4} = \frac{30}{4} = 7.5\]

したがって、最終的な答えは $\boxed{7.5}$ 平方フィートです。",5,60
mgsm-ja-76,"まず、セシリアが持っているドッグフードの袋の量と、必要なドッグフードの量を考慮します。

最初の180日間、ドッグフードを1カップ与える必要があるため、この期間で必要なドッグフードの量は 180 カップです。

次に、犬の寿命の残り期間を考えます。問題には犬の寿命が提供されていませんが、1年間を180日間と仮定します（実際の犬の寿命は1年間の180日とは異なります）。つまり、最初の180日間が既に経過している場合、残りの期間は 180 日です。

残りの期間に必要なドッグフードの量は 2 カップ/日 × 180 日 = 360 カップです。

最初の180日間で必要なドッグフードの量は 180 カップです。

したがって、最初の1年間で必要なドッグフードの合計は 180 カップ + 360 カップ = 540 カップです。

ドッグフード1袋に110カップ分入っているので、必要な袋数は 540 カップ ÷ 110 カップ/袋 = 4.91 箱。これは4袋と1/11箱を表しますが、実際には4袋を購入し、残りの1/11箱を翌年以降に使用します。

したがって、セシリアは最初の1年間 $\\boxed{4}$ 袋のドッグフードが必要です。",4,5
mgsm-ja-77,"まず、サラが洗濯した量が400ポンドであるとします。

1. レイモンドがサラの半分を洗濯したので、レイモンドは 400/2 = 200ポンドの洗濯をしました。

2. サラはデイビッドと同じ量の洗濯をしたとします。つまり、サラが400ポンド洗濯をしたので、デイビッドも400ポンド洗濯をしました。

3. よって、レイモンドとデイビッドの洗濯量の差は 400 - 200 = 200ポンドです。

したがって、最終的な答えは $\boxed{200}$ポンドです。",200,100
mgsm-ja-78,"まず、それぞれのパッケージの値段を計算します。

1. 3本で$2.50のパッケージ: 1本あたり $2.50 / 3 = $0.8333...
2. 2本で$1のパッケージ: 1本あたり $1 / 2 = $0.50

次に、18本の花をそれぞれの価格で計算します。

1. 3本で$2.50のパッケージで買う場合: $2.50 * 6 = $15.00 (6パックで18本)
2. 2本で$1のパッケージで買う場合: $1 * 9 = $9.00 (9パックで18本)

それぞれの価格を比較し、お得な価格の差額を求めます。

$15.00 - $9.00 = $6.00

したがって、よりお得な価格で18本の花を買ったら、$6.00お得になります。

$\\boxed{6.00}$",0,6
mgsm-ja-79,"まず、トリマーの30%割引の金額を計算します。トリミングの全額は $100 です。

30%の計算は、$100 を 100 の 30% に変換します。これは、$100 \times 0.30 = $30 です。

次に、この割引をトリミングの全額から引きます。

$100 - $30 = $70

したがって、トリミングの費用は $70 です。

$\\boxed{70}",70,70
mgsm-ja-80,"まず、2人の少女がそれぞれ24リットルの水を6分の1飲んだので、それぞれが飲んだ水量は：
\[ 24 \times \frac{1}{6} = 4 \text{リットル} \]

2人の少女が飲んだ合計は：
\[ 4 + 4 = 8 \text{リットル} \]

それから、男の子が6リットルの水を飲んだので、全体の消費量は：
\[ 8 + 6 = 14 \text{リットル} \]

最初にあった水の量は24リットルなので、残った水の量は：
\[ 24 - 14 = 10 \text{リットル} \]

したがって、最終的な答えは：
\[ \boxed{10} \]",10,10
mgsm-ja-81,"チャーチーのシールの最初の数は10個です。

モールのストアで21個のシールを買い、誕生日に23個のシールをもらいました。これらを合計すると、チャーチーは合計で 10 + 21 + 23 = 54個のシールを手に入れました。

その後、チャーチーは妹に9個のシールをあげ、グリーティングカードに28個のシールを使い、これらを合計すると 9 + 28 = 37個のシールを使いました。

チャーチーが持っていたシールの数から使ったシールの数を引くと、チャーチーには 54 - 37 = 17個のシールが残っています。

したがって、最終的な答えは $\boxed{17}$ です。",17,17
mgsm-ja-82,"アレックスの体重はグレースの体重の4倍より2ポンド軽いということは、アレックスの体重は $125 \times 4 - 2 = 500 - 2 = 498$ ポンドです。

彼女達の体重の合計は、グレースの体重とアレックスの体重の和で、$125 + 498 = 623$ ポンドです。

$\\boxed{623}$",623,623
mgsm-ja-83,"まず、バラの苗の数は3つ、それぞれにバラの本数は25本、そしてそれぞれのバラにはとげの数は8個あります。

それぞれのバラのとげの数を合計すると、3つ × 25本 × 8個 = 600個となります。

したがって、全部で600個のとげがあります。

$\\boxed{600}$",600,600
mgsm-ja-84,"この問題を数式で表すと、以下のようになります。

- 許された試合数：22
- 許された試合数 = 勝った試合数 + 負けた試合数 + 引き分けた試合数
- 引き分けた試合数は0なので、22 = 勝った試合数 + 負けた試合数
- 許された試合数 = 勝った試合数 + 負けた試合数 + 0
- 許された試合数 - 8 = 勝った試合数（問題文より）

よって、勝った試合数は 22 - 8 = 14 となります。

最終的な答えは：
$\\boxed{14}$",14,15
mgsm-ja-85,"まず、ジーンの年齢が23歳から34歳までであることは分かっています。これは11年間のことです。

彼は毎年4回バケーションに行き、その回数のシャツを手に入れています。したがって、1年あたりのシャツの数は4つです。

11年間で手に入れたシャツの総数は、11年 × 4回 = 44回となります。

したがって、ジーンは44個のキルトのブロックを持っています。

最終的な答えは $\boxed{44}$ です。",44,44
mgsm-ja-86,"今日最初にアラームがなり、4回鳴りました。この時点でアラームは1度鳴った状態です。

2度目に鳴った時、1度目に鳴った回数の3倍長く鳴りました。つまり、最初に鳴った1回の3倍、つまり3回鳴りました。

3度目に鳴った時は、2度目の長さの半分鳴りました。2度目は3回鳴ったので、3回の半分、つまり1.5回鳴りました。

合計すると、最初に4回、2度目3回、3度目1.5回、合計8.5回アラームが鳴りました。

最終的な答えは $\boxed{8.5}$ です。",5,22
mgsm-ja-87,"シルヴィーが入社5年目を迎えた年は、その年の12月に給料が10%増加します。3年後には、その給料は当初の600ドルから3回10%増加します。

1. 初年度の給料: $600
2. 2年目: $600 \times 1.10 = $660
3. 3年目: $660 \times 1.10 = $726
4. 4年目: $726 \times 1.10 = $798.60
5. 5年目: $798.60 \times 1.10 = $878.46

シルヴィーが3年間働いた後の年俸は、5年目からの給料である$878.46です。

$\\boxed{878.46}$",46,9360
mgsm-ja-88,"問題を数式で表すと、
マリリンのレコードの売上枚数を $M$ 、ハラルドのレコードの売上枚数を $H$ とすると、
$M = 10H$ と表せます。
また、マリリンとハラルドが合わせて売れたレコードの枚数は $88,000$ なので、
$M + H = 88,000$
となります。
$M = 10H$ を $M + H = 88,000$ に代入すると、
$10H + H = 88,000$
$11H = 88,000$
$H = 8,000$
となります。
したがって、ハラルドは $8,000$ 枚売りました。
最終的な答えは：
$\\boxed{8,000}$",0,8000
mgsm-ja-89,"まず、出席者が4分の1の出席者しか参加しないので、5分の4の友人が参加します。16人の友人の中から5分の4を計算すると、
\[ 16 \times \frac{5}{4} = 20 \]
人参加します。

各招待客につき.75個のギフトバッグが必要なので、
\[ 20 \times 0.75 = 15 \]
個のギフトバッグが必要です。

各ギフトバッグが$2なので、
\[ 15 \times 2 = 30 \]
ドル必要です。

したがって、最終的な答えは $\\boxed{30}$ です。",30,24
mgsm-ja-90,"大人が10lbs、子供が大人の半分つまり 5lbs であることが分かっています。

20匹の大人が食べるとすると、20 * 10lbs = 200lbs
5匹の子供が食べるとすると、5 * 5lbs = 25lbs

合計で 200lbs + 25lbs = 225lbs

したがって、テッドは 225lbs のポテトサラダを持っていく必要があります。

$\\boxed{225}$",225,225
mgsm-ja-91,"シンディーが飼っているペットの数は4匹です。
マルシアはシンディーより2匹多く飼っているので、マルシアは 4 + 2 = 6匹のペットを飼っています。
ジャンにはマルシアの3倍の数のペットを飼っているので、ジャンは 6 * 3 = 18匹のペットを飼っています。

3人で飼っているペットの総数は 4 + 6 + 18 = 28匹です。

したがって、最終的な答えは $\boxed{28}$ です。",28,28
mgsm-ja-92,"まず、ジェームスが10歳であることを知り、コリーより1年若いことから、コリーは11歳です。

次に、コリーより2歳若いことから、エイミーは9歳です。

最後に、エイミーはジャクソンより5歳年上で、エイミーが9歳であることを考えると、ジャクソンは4歳年下なので、ジャクソンは4歳です。

したがって、ジャクソンの年齢は $\boxed{4}$ です。",4,4
mgsm-ja-93,"まず、リーの元の速度を計算します。ジェラルドが400メートルハードルを32秒で走るのに対して、リーは2秒速く30秒で走ることができたので、リーの元の速度は $\frac{400}{30}$ メートル/秒です。

ジェラルドの食事を改善した後、彼の速度は元の110%になりました。つまり、リーの元の速度 $\frac{400}{30}$ メートル/秒の110%がジェラルドの新速度です。

新速度を計算すると：
$$ \frac{400}{30} \times 110\% = \frac{400}{30} \times \frac{110}{100} = \frac{400}{30} \times \frac{11}{10} = \frac{440}{30} = \frac{44}{3} \text{ メートル/秒} $$

リーが38秒で400メートル走るのに対して、ジェラルドが同じ距離を走るためには何秒かかるかを計算します。これは距離除以速度で求められます。

ジェラルドの新速度が $\frac{44}{3}$ メートル/秒であるので、ジェラルドが400メートルを走るためには：
$$ \text{時間} = \frac{\text{距離}}{\text{速度}} = \frac{400}{\frac{44}{3}} = \frac{400 \times 3}{44} = \frac{1200}{44} = \frac{300}{11} \text{ 秒} $$

$\frac{300}{11}$ 秒は約 27.27 秒です。

したがって、最終的な答えは：
$$ \boxed{27.27} $$",27,36
mgsm-ja-188,"商人が小麦を購入し、その後売った際の収益は400ドルです。小麦を1袋30ドルで売ったことから、売った袋数は $\frac{400}{30} = \frac{40}{3} = 13.\overline{3}$ となります。しかし、袋の数は整数であるため、商人は13袋の小麦を売ったことになります。

したがって、最終的な答えは $\boxed{13}$ です。",13,50
mgsm-ja-189,"まず、チケットの合計価格を計算します。3枚のチケットは20.25ドルです。

次に、食べ物の価格を計算します。チケットよりも4.50ドル安いので、25.75ドルです。

その後、2つのライドにかかる費用を計算します。2つのライドは33ドル/ライドなので、合計66ドルです。

合計の支出はチケットと食べ物、そしてライドの費用を足し合わせます。

\[ \text{合計支出} = 20.25 + 25.75 + 66 = 112 \text{ドル} \]

友人3人が均等に支出を分担するので、1人あたりの支出は合計支出を3で割ります。

\[ \text{1人あたりの支出} = \frac{112}{3} = 37.3333... \text{ドル} \]

したがって、最終的な答えは $\boxed{37.33}$ドルとなります。",33,34
mgsm-ja-190,"ジョンは1分間に2つの桃を収穫できます。3時間は180分間です。したがって、ジョンは180分間、2つの桃を収穫できるので、桃の総数は 180 * 2 = 360 になります。

最終的な答えは：$\boxed{360}$",360,360
mgsm-ja-191,"まず、10羽のアヒルが1週間で食べる昆虫の総量を計算します。1羽のアヒルが1週間に食べる昆虫の量は3.5ポンドなので、10羽のアヒルが1週間に食べる昆虫の総量は 3.5ポンド × 10 = 35ポンドです。

次に、1日につき何ポンドの昆虫が必要かを計算します。1週間に必要な35ポンドを7日で割ります。つまり、35ポンド ÷ 7日 = 5ポンド/日となります。

したがって、10羽のアヒルの群れがいる場合、1日につき5ポンドの昆虫が必要になるという答えは、
$\\boxed{5}$ポンドとなります。",5,5
