source,full_response,pred_number,answer
mgsm-th-0,"แจนต์มีนกกระทงที่เล่นไข่ได้ 16 ฟองต่อวัน เธอทานไข่ 3 ฟองสำหรับอาหารเช้าทุกวัน และใช้ไข่ 4 ฟองสำหรับทำมัฟฟินให้เพื่อนทุกวัน เหลือไข่ที่ขายที่ตลาดนักเกษตรวันละ $2 ต่อไข่ จำนวนเงินที่แจนต์ทำได้ที่ตลาดนักเกษตรวันละคือ:

1. คำนวณไข่ที่เหลือ: $16 - 3 - 4 = 9$ ฟอง
2. คำนวณรายได้จากไข่ที่ขาย: $9 \times 2 = 18$ ดอลลาร์

ดังนั้น, แจนต์ทำเงินที่ตลาดนักเกษตรวันละ $\boxed{18}$ ดอลลาร์",18,18
mgsm-th-1,ชุดrobe ต้องการเส้นใยสีฟ้า 2 เส้น และเส้นใยสีขาวครึ่งของเส้นใยสีฟ้า ดังนั้นเส้นใยสีขาวที่ต้องการคือ 2 ÷ 2 = 1 เส้น รวมกันแล้วเส้นใยทั้งหมดที่ต้องการคือ 2 + 1 = 3 เส้น $\boxed{3}$,3,3
mgsm-th-2,"Josh ซื้อที่อยู่อาศัยมาที่ราคา $80,000 และใช้เงิน $50,000 ในการซ่อมแซม ทำให้ค่าครองชีพของที่อยู่อาศัยเพิ่มขึ้น 150% ถ้าเรามาคำนวณดู:

1. ค่าครองชีพหลังการซ่อมแซม: $80,000 + $50,000 = $130,000
2. ค่าครองชีพเพิ่มขึ้น 150% หมายความว่าค่าครองชีพใหม่คือ $130,000 + (150% ของ $130,000) = $130,000 + $195,000 = $325,000

ค่าครองชีพหลังการซ่อมแซมและเพิ่มขึ้นคือ $325,000

3. กำไรที่ Josh ทำได้: $325,000 - $130,000 = $195,000

Josh ทำกำไรได้ $195,000 ดังนั้นคำตอบคือ $\boxed{195000}$",195000,70000
mgsm-th-3,James วิ่งสปิน 3 ครั้งต่อวัน และวิ่งทั้งสิ้น 3 วันต่อสัปดาห์ ดังนั้นเขาจะวิ่งทั้งสิ้น $3 \times 3 = 9$ ครั้งต่อสัปดาห์ ซึ่งเขาวิ่งระยะทางละ 60 เมตรต่อครั้ง ดังนั้นระยะทางทั้งหมดที่เขาวิ่งในสัปดาห์นี้คือ $9 \times 60 = 540$ เมตร $\boxed{540}$,540,540
mgsm-th-4,วินดี้ให้อาหารไก่ของเธอทั้งหมด 20 ตัว ทุกวัน ไก่แต่ละตัวได้รับอาหาร 3 ถ้วยต่อวัน ซึ่งถูกแบ่งเป็น 3 มื้อ ตอนเช้าเธอให้อาหารไก่ 15 ถ้วย และตอนบ่ายให้อีก 25 ถ้วย ดังนั้น ในมื้อสุดท้ายของวัน วินดี้จำเป็นต้องให้อาหารไก่ $\boxed{15}$ ถ้วย,15,20
mgsm-th-5,"Kylar ซื้อแก้วน้ำ 16 แก้ว ราคาแก้วแรกคือ $5 และแก้วที่สองจะราคา 60% ของราคาแก้วแรก ต้องการคำนวณว่าเขาต้องจ่ายเงินเท่าใด

1. คำนวณราคาแก้วที่สอง: $5 \times 0.60 = $3
2. แบ่งแก้วออกเป็นกลุ่มของแก้วที่ราคา $5 และแก้วที่ราคา $3
   - แก้วที่ราคา $5: 16 แก้ว / 2 = 8 แก้ว
   - แก้วที่ราคา $3: 16 แก้ว / 2 = 8 แก้ว
3. คำนวณราคารวม: 
   - ราคารวมของแก้วที่ราคา $5: $5 \times 8 = $40
   - ราคารวมของแก้วที่ราคา $3: $3 \times 8 = $24
   - ราคารวมทั้งหมด: $40 + $24 = $64

ดังนั้น, Kylar ต้องจ่ายเงิน $64 สำหรับ 16 แก้ว $\boxed{64}$",64,64
mgsm-th-6,"ตามที่โจทย์บอกว่าชิคาโรตันมีแกะสองเท่าของชาร์ลสตัน และชาร์ลสตันมีแกะสี่เท่าของซีแอตเทิล ซึ่งซีแอตเทิลมีแกะ 20 ตัว

1. คำนวณจำนวนแกะของชาร์ลสตัน: ชาร์ลสตันมีแกะ 4 เท่าของซีแอตเทิล ดังนั้น
   \[
   4 \times 20 = 80 \text{ ตัว}
   \]

2. คำนวณจำนวนแกะของชิคาโรตัน: ชิคาโรตันมีแกะสองเท่าของชาร์ลสตัน ดังนั้น
   \[
   2 \times 80 = 160 \text{ ตัว}
   \]

3. รวมจำนวนแกะของทั้งสามเมือง: ซีแอตเทิล 80 ตัว, ชาร์ลสตัน 80 ตัว, และชิคาโรตัน 160 ตัว
   \[
   20 + 80 + 160 = 260 \text{ ตัว}
   \]

ดังนั้น, ชิคาโรตัน, ชาร์ลสตัน, และซีแอตเทิล มีแกะรวมกันทั้งหมด $\boxed{260}$ ตัว.",260,260
mgsm-th-7,การดาวน์โหลดไฟล์ 200 GB ของแครล่าจะใช้เวลาปกติ 200 นาที เพราะเร็วเท่ากับ 2 GB/นาที แต่เมื่อถึง 40% ของการดาวน์โหลด หรือ 80 GB ระบบปฏิบัติการต้องทำการรีสตาร์ทเพื่อติดตั้งอัพเดท ซึ่งใช้เวลา 20 นาที หลังจากนั้นแครล่าต้องเริ่มดาวน์โหลดใหม่จากจุดเริ่มต้น ดังนั้น เธอจะต้องใช้เวลาในการดาวน์โหลดอีก 200 นาที รวมถึงเวลา 20 นาที ของการรีสตาร์ท รวมเวลาทั้งหมดที่แครล่าใช้ในการดาวน์โหลดไฟล์คือ 220 นาที $\boxed{220}$,220,160
mgsm-th-8,john ขับรถไป 3 ชั่วโมงที่ความเร็ว 60 ไมล์ต่อชั่วโมง แล้วกลับไปที่บ้านเพราะลืมสิ่งสำคัญ เขาพยายามกลับบ้านในเวลา 4 ชั่วโมง แต่ใช้เวลา 2 ชั่วโมงแรกอยู่ในรถติด แล้วขับไปอีก 30 นาทีที่ความเร็ว 30 ไมล์ต่อชั่วโมง ก่อนที่จะขับไปอีก 1.5 ชั่วโมงที่ความเร็ว 80 ไมล์ต่อชั่วโมง ระยะทางที่ john ยังอยู่ห่างจากบ้านที่สิ้นสุด 4 ชั่วโมงคือ $\boxed{60}$ ไมล์.,60,45
mgsm-th-9,"Eliza ทำงาน 45 ชั่วโมงในสัปดาห์นี้ ซึ่งหมายความว่าเธอทำงานโอเวอร์ไทม์ 5 ชั่วโมง (45 - 40 = 5 ชั่วโมง) 

ค่าจ้างปกติของ Eliza คือ 10 ดอลลาร์ต่อชั่วโมง ดังนั้นค่าจ้างสำหรับ 40 ชั่วโมงแรกคือ:
\[ 40 \text{ ชั่วโมง} \times 10 \text{ ดอลลาร์/ชั่วโมง} = 400 \text{ ดอลลาร์} \]

ค่าจ้างโอเวอร์ไทม์ของ Eliza คือ 1.2 ครั้งของค่าจ้างปกติ ดังนั้นค่าจ้างโอเวอร์ไทม์ของเธอคือ:
\[ 10 \text{ ดอลลาร์/ชั่วโมง} \times 1.2 = 12 \text{ ดอลลาร์/ชั่วโมง} \]

ค่าจ้างสำหรับ 5 ชั่วโมงโอเวอร์ไทม์คือ:
\[ 5 \text{ ชั่วโมง} \times 12 \text{ ดอลลาร์/ชั่วโมง} = 60 \text{ ดอลลาร์} \]

รวมค่าจ้างทั้งหมดของ Eliza สำหรับสัปดาห์นี้:
\[ 400 \text{ ดอลลาร์} + 60 \text{ ดอลลาร์} = 460 \text{ ดอลลาร์} \]

ดังนั้นค่าจ้างของ Eliza สำหรับสัปดาห์นี้คือ 460 ดอลลาร์ $\boxed{460}$",460,460
