source,full_response,pred_number,answer
mgsm-en-47,"First, we determine the number of blue ties John bought. Since each blue tie costs $40 and he spent $200 on blue ties, the number of blue ties is calculated as follows:
\[
\text{Number of blue ties} = \frac{200}{40} = 5
\]
John buys twice as many red ties as blue ties. Therefore, the number of red ties he buys is:
\[
\text{Number of red ties} = 2 \times 5 = 10
\]
Next, we need to find the cost of each red tie. The problem states that red ties cost 50% more than blue ties. Since each blue tie costs $40, the cost of each red tie is:
\[
\text{Cost of each red tie} = 40 + 0.5 \times 40 = 40 + 20 = 60
\]
Now, we calculate the total cost of the red ties:
\[
\text{Total cost of red ties} = 10 \times 60 = 600
\]
The total amount spent on ties is the sum of the cost of the blue ties and the cost of the red ties:
\[
\text{Total amount spent} = 200 + 600 = 800
\]
Thus, the total amount John spent on ties is:
\[
\boxed{800}
\]",800,800
mgsm-en-48,"First, we need to convert the length of the wire from feet to inches because the pieces are measured in inches. There are 12 inches in a foot. Therefore, a 4-foot long wire is:

\[ 4 \text{ feet} \times 12 \text{ inches/foot} = 48 \text{ inches} \]

Next, we need to determine how many 6-inch pieces can be obtained from a 48-inch wire. We do this by dividing the total length of the wire by the length of each piece:

\[ 48 \text{ inches} \div 6 \text{ inches/piece} = 8 \text{ pieces} \]

Thus, Tracy obtained \(\boxed{8}\) pieces of wire.",8,8
mgsm-en-49,"To determine the total number of unoccupied units in the building, we need to follow these steps:

1. Calculate the total number of units in the building.
2. Determine the number of occupied units.
3. Calculate the number of unoccupied units.

First, we calculate the total number of units in the building. The building has 15 floors, and each floor has 8 units. Therefore, the total number of units is:
\[
15 \times 8 = 120
\]

Next, we find out how many units are occupied. We know that 3/4 of the building is occupied. So, the number of occupied units is:
\[
\frac{3}{4} \times 120 = 90
\]

Now, we can find the number of unoccupied units by subtracting the number of occupied units from the total number of units:
\[
120 - 90 = 30
\]

Thus, the total number of unoccupied units in the building is \(\boxed{30}\).",30,30
mgsm-en-50,"To determine how much Lloyd makes on eggs per week, we need to follow these steps:

1. Calculate the number of eggs produced per week.
2. Determine how many dozens of eggs are produced per week.
3. Calculate the total revenue from selling the eggs per week.

First, we calculate the number of eggs produced per week. Since there are 7 days in a week and his chickens produce 252 eggs per day, the total number of eggs produced per week is:
\[ 252 \text{ eggs/day} \times 7 \text{ days/week} = 1764 \text{ eggs/week} \]

Next, we need to convert the number of eggs into dozens. Since there are 12 eggs in a dozen, the number of dozens of eggs produced per week is:
\[ \frac{1764 \text{ eggs}}{12 \text{ eggs/dozen}} = 147 \text{ dozens} \]

Now, we calculate the total revenue from selling the eggs. Since Lloyd sells the eggs for $2 per dozen, the total revenue per week is:
\[ 147 \text{ dozens} \times 2 \text{ dollars/dozen} = 294 \text{ dollars} \]

Therefore, Lloyd makes \(\boxed{294}\) dollars on eggs per week.",294,294
mgsm-en-51,"To determine how long it takes Tom to get back, we need to follow these steps:

1. **Determine the distance Tom travels from 1 to 4 PM:**
   - Tom's ship travels at a rate of 10 miles per hour.
   - He sails from 1 PM to 4 PM, which is a duration of 3 hours.
   - Distance = Speed × Time
   \[
   \text{Distance} = 10 \, \text{mph} \times 3 \, \text{hours} = 30 \, \text{miles}
   \]

2. **Calculate the time it takes to travel back:**
   - Tom's return speed is 6 miles per hour.
   - Distance to be traveled back is 30 miles.
   - Time = Distance ÷ Speed
   \[
   \text{Time} = \frac{30 \, \text{miles}}{6 \, \text{mph}} = 5 \, \text{hours}
   \]

Thus, it takes Tom \(\boxed{5}\) hours to get back.",5,5
mgsm-en-52,"First, we calculate the total weight of the comic books Uriah removes. Each comic book weighs \(\frac{1}{4}\) pound, and he removes 30 comic books. Therefore, the total weight of the comic books is:
\[
30 \times \frac{1}{4} = 7.5 \text{ pounds}
\]

Next, we need to determine how much more weight needs to be removed from the book bag to reach the total of 15 pounds. We subtract the weight of the comic books from the total weight to be removed:
\[
15 - 7.5 = 7.5 \text{ pounds}
\]

Uriah needs to remove 7.5 pounds more. Each toy weighs \(\frac{1}{2}\) pound. To find out how many toys he needs to remove, we divide the remaining weight by the weight of each toy:
\[
\frac{7.5}{\frac{1}{2}} = 7.5 \times 2 = 15
\]

Thus, Uriah needs to remove \(\boxed{15}\) toys.",15,15
mgsm-en-53,"To determine how much more revenue the mechanic earned on the day with higher revenue, we need to calculate the revenue for each day separately and then find the difference.

First, let's calculate the revenue for Thursday:
- The mechanic repairs 6 truck tires, and each truck tire repair costs $60.
- The revenue from truck tires on Thursday is \(6 \times 60 = 360\) dollars.
- The mechanic also repairs 4 car tires, and each car tire repair costs $40.
- The revenue from car tires on Thursday is \(4 \times 40 = 160\) dollars.
- Therefore, the total revenue on Thursday is \(360 + 160 = 520\) dollars.

Next, let's calculate the revenue for Friday:
- The mechanic repairs 12 car tires, and each car tire repair costs $40.
- The revenue from car tires on Friday is \(12 \times 40 = 480\) dollars.
- Since no truck tires were repaired on Friday, the revenue from truck tires is $0.
- Therefore, the total revenue on Friday is \(480 + 0 = 480\) dollars.

Now, we find the difference in revenue between Thursday and Friday:
- The revenue on Thursday is $520.
- The revenue on Friday is $480.
- The difference in revenue is \(520 - 480 = 40\) dollars.

Thus, the mechanic earned \(\boxed{40}\) dollars more on Thursday.",40,40
mgsm-en-54,"To determine the total number of kittens the Doubtfire family now has, we need to follow these steps:

1. **Count the adopted kittens:**
   - The Doubtfire sisters have 7 adopted kittens.

2. **Determine the number of kittens from Patchy:**
   - Patchy has had thrice the number of adopted kittens.
   - Therefore, the number of kittens from Patchy is \( 3 \times 7 = 21 \).

3. **Determine the number of kittens from Trixie:**
   - Trixie has had 12 kittens.

4. **Calculate the total number of kittens:**
   - Add the number of adopted kittens, the kittens from Patchy, and the kittens from Trixie.
   - Total kittens = adopted kittens + kittens from Patchy + kittens from Trixie
   - Total kittens = \( 7 + 21 + 12 \)

5. **Perform the addition:**
   - \( 7 + 21 = 28 \)
   - \( 28 + 12 = 40 \)

Thus, the total number of kittens the Doubtfire family now has is \(\boxed{40}\).",40,40
mgsm-en-55,"Jean starts with 30 lollipops. After eating 2 lollipops, the number of lollipops left is:
\[ 30 - 2 = 28 \]

Jean wants to package the remaining lollipops into bags, with each bag containing 2 lollipops. To find out how many bags Jean can fill, we divide the number of remaining lollipops by the number of lollipops per bag:
\[ 28 \div 2 = 14 \]

Thus, Jean can fill \(\boxed{14}\) bags.",14,14
mgsm-en-56,"To determine how many times Peter can go to the movies, we need to calculate the total cost of one trip to the movies and then see how many such trips he can afford with his $42.

1. Calculate the total cost of one trip to the movies:
   \[
   \text{Cost of one trip} = \text{Cost of ticket} + \text{Cost of popcorn} = 7 + 7 = 14 \text{ dollars}
   \]

2. Determine how many trips Peter can afford with $42:
   \[
   \text{Number of trips} = \frac{\text{Total money}}{\text{Cost of one trip}} = \frac{42}{14} = 3
   \]

Therefore, Peter can go to the movies \(\boxed{3}\) times.",3,3
mgsm-en-57,"To determine the maximum number of boxes that can be loaded onto the truck without exceeding the bridge's weight limit, we need to follow these steps:

1. Identify the total weight the bridge can carry.
2. Determine the weight of the empty truck and the driver.
3. Calculate the remaining weight capacity of the bridge after accounting for the weight of the empty truck and the driver.
4. Determine how many boxes can be loaded onto the truck with the remaining weight capacity.

The bridge can carry no more than 5000 pounds. The combined weight of the driver and the empty truck is 3755 pounds. Therefore, the remaining weight capacity of the bridge is:
\[ 5000 - 3755 = 1245 \text{ pounds} \]

Each box weighs 15 pounds. To find the maximum number of boxes that can be loaded onto the truck, we divide the remaining weight capacity by the weight of each box:
\[ \frac{1245}{15} = 83 \]

Thus, the maximum number of boxes that can be loaded onto the truck is \(\boxed{83}\).",83,83
mgsm-en-58,"To determine the final price of Stephen's groceries, we need to account for the 25% fee, the delivery fees, and the tip. Let's break it down step by step.

1. **Calculate the 25% fee on the final bill:**
   The original bill is $40.00. A 25% fee on this amount is calculated as:
   \[
   0.25 \times 40.00 = 10.00
   \]
   So, the fee is $10.00.

2. **Add the delivery fees:**
   The delivery fees are $3.00.

3. **Add the tip:**
   The tip is $4.00.

4. **Calculate the total:**
   We start with the original bill and add the fee, delivery fees, and tip:
   \[
   40.00 + 10.00 + 3.00 + 4.00 = 57.00
   \]

Therefore, the final price of Stephen's groceries is \(\boxed{57.00}\).",0,57
mgsm-en-59,"To determine the total number of raspberries on the bush, we need to calculate the number of raspberries in the clusters and the number of individual raspberries separately, and then sum these amounts.

First, we calculate the number of raspberries in the clusters. There are 6 clusters, and each cluster contains 20 raspberries. Therefore, the total number of raspberries in the clusters is:
\[ 6 \times 20 = 120 \]

Next, we note that there are 67 individual raspberries scattered across the bush. So, the total number of raspberries on the bush is the sum of the raspberries in the clusters and the individual raspberries:
\[ 120 + 67 = 187 \]

Thus, the total number of raspberries on the bush is \(\boxed{187}\).",187,187
mgsm-en-60,"To determine the number of good oranges in the basket, we need to follow these steps:

1. Identify the total number of oranges in the basket.
2. Determine the number of unripe oranges.
3. Determine the number of sour oranges.
4. Subtract the number of bad, unripe, and sour oranges from the total number of oranges to find the number of good oranges.

Let's start with the total number of oranges:
\[ \text{Total number of oranges} = 25 \]

Next, we calculate the number of unripe oranges. Since 20% of the oranges are unripe:
\[ \text{Number of unripe oranges} = 20\% \times 25 = 0.20 \times 25 = 5 \]

We are given that there is 1 bad orange:
\[ \text{Number of bad oranges} = 1 \]

We are also given that there are 2 sour oranges:
\[ \text{Number of sour oranges} = 2 \]

Now, we can find the number of good oranges by subtracting the number of bad, unripe, and sour oranges from the total number of oranges:
\[ \text{Number of good oranges} = 25 - (\text{Number of bad oranges} + \text{Number of unripe oranges} + \text{Number of sour oranges}) \]
\[ \text{Number of good oranges} = 25 - (1 + 5 + 2) = 25 - 8 = 17 \]

Therefore, the number of good oranges is:
\[ \boxed{17} \]",17,17
mgsm-en-61,"First, we need to calculate the total cost of the materials and the construction of the brooch. Janet pays $500 for the materials and $800 for the construction. Adding these amounts together gives:

\[500 + 800 = 1300\]

Next, Janet pays 10% of the total cost to get the brooch insured. To find 10% of $1300, we multiply $1300 by 0.10:

\[1300 \times 0.10 = 130\]

Now, we add the cost of insurance to the total cost of the materials and construction:

\[1300 + 130 = 1430\]

Therefore, the total amount Janet paid is \(\boxed{1430}\).",1430,1430
mgsm-en-62,"To determine Marcy's annual pension after 30 years of work, we need to follow these steps:

1. Identify the annual pension amount after 20 years of service.
2. Calculate the additional pension amount based on the 5% entitlement after 20 years.
3. Sum the two amounts to find the total annual pension after 30 years.

Step 1: Identify the annual pension amount after 20 years of service.
Marcy's annual pension is $50,000 per year for the first 20 years.

Step 2: Calculate the additional pension amount based on the 5% entitlement after 20 years.
Starting after 20 years, Marcy becomes entitled to 5% of the value of the pension per year. The value of the pension is $50,000, so the additional pension amount is:
\[ 50,000 \times 0.05 = 2,500 \]

Step 3: Sum the two amounts to find the total annual pension after 30 years.
The total annual pension after 30 years is the sum of the regular annual pension and the additional pension:
\[ 50,000 + 2,500 = 52,500 \]

Therefore, the annual pension Marcy will receive after 30 years is \(\boxed{52500}\).",52500,25000
mgsm-en-63,"To determine the total amount Aleena paid for the streaming service by the end of the year, we need to break down the payments into two halves of the year and calculate the cost for each half separately.

1. **Initial Monthly Charge:**
   The streaming service charges $140 per month.

2. **First Half of the Year:**
   There are 6 months in the first half of the year.
   \[
   \text{Total cost for the first half} = 6 \times 140 = 840 \text{ dollars}
   \]

3. **Second Half of the Year:**
   The charge for the second half of the year is 10% less than the initial monthly charge.
   \[
   \text{Reduced monthly charge} = 140 - (0.10 \times 140) = 140 - 14 = 126 \text{ dollars}
   \]
   There are also 6 months in the second half of the year.
   \[
   \text{Total cost for the second half} = 6 \times 126 = 756 \text{ dollars}
   \]

4. **Total Annual Cost:**
   Adding the costs of both halves of the year gives:
   \[
   \text{Total annual cost} = 840 + 756 = 1596 \text{ dollars}
   \]

Thus, the total amount Aleena had paid for the streaming service by the end of the year is \(\boxed{1596}\).",1596,1596
mgsm-en-64,"To determine how many miles Sophia can drive on a single tank of gas, we need to first find her car's fuel efficiency in miles per gallon (mpg). We know that Sophia has traveled 100 miles using 4 gallons of gas. Therefore, her car's fuel efficiency is calculated as follows:

\[
\text{Fuel efficiency} = \frac{\text{Distance traveled}}{\text{Gallons of gas used}} = \frac{100 \text{ miles}}{4 \text{ gallons}} = 25 \text{ miles per gallon}
\]

Next, we need to find out how many miles Sophia can drive with a full tank of gas. Since her tank holds 12 gallons of gas, we multiply the fuel efficiency by the tank capacity:

\[
\text{Miles per tank} = \text{Fuel efficiency} \times \text{Tank capacity} = 25 \text{ miles per gallon} \times 12 \text{ gallons} = 300 \text{ miles}
\]

Therefore, the number of miles Sophia can drive on a single tank of gas is \(\boxed{300}\).",300,300
mgsm-en-65,"First, let's determine how long Jim spends reading each time he watches TV. Since he reads for half as long as he watches TV, and he watches TV for 2 hours, he reads for:

\[ \frac{2}{2} = 1 \text{ hour} \]

Next, we calculate the total time Jim spends on TV and reading each time he does this activity. This is the sum of the time spent watching TV and the time spent reading:

\[ 2 \text{ hours} + 1 \text{ hour} = 3 \text{ hours} \]

Since Jim does this activity 3 times a week, the total time he spends on TV and reading each week is:

\[ 3 \text{ hours/time} \times 3 \text{ times/week} = 9 \text{ hours/week} \]

To find out how many hours he spends on TV and reading in 4 weeks, we multiply the weekly total by 4:

\[ 9 \text{ hours/week} \times 4 \text{ weeks} = 36 \text{ hours} \]

Therefore, the total number of hours Jim spends on TV and reading in 4 weeks is \(\boxed{36}\).",36,36
mgsm-en-66,"To determine the total number of people sent by the four schools, we need to consider the contributions from each school. Each school sends two basketball teams (one girls' and one boys') and a coach for each team. Therefore, each school sends a total of \(5 + 5 + 1 + 1 = 12\) people.

Since there are four schools, we multiply the number of people sent by one school by the number of schools:
\[
12 \times 4 = 48
\]
Thus, the total number of people sent by all the schools is \(\boxed{48}\).",48,48
